Target	Source	Weight	Total	Type	max
CA*190521468194	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
CA*930044295	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
CN*110014681599	GB04534247	100.0	100.0	Directed	100.0
CN9364579183	HK0002180667	100.0	100.0	Directed	100.0
DE2151268067	GB04534247	100.0	100.0	Directed	100.0
DE8230288251	DE8330360444	100.0	100.0	Directed	100.0
DE8230333327	NL34324431	100.0	100.0	Directed	100.0
DE8330360444	NL34324431	100.0	100.0	Directed	100.0
ESB80170806	NL34324431	100.0	100.0	Directed	100.0
FR489952457	ACTIVISION BLIZZARD INC	100.0	50.01	Directed	50.01
GB*110007707966	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
GB01673860	GB03136477	100.0	100.0	Directed	100.0
GB01709830	GB04707223	100.0	100.0	Directed	100.0
GB02105582	GB01673860	100.0	100.0	Directed	100.0
GB03136477	GB04707223	100.0	100.0	Directed	100.0
GB04472310	GB01673860	100.0	100.0	Directed	100.0
GB04534247	ACTIVISION BLIZZARD INC	100.0	50.01	Directed	50.01
GB04604940	GB04707223	100.0	100.0	Directed	100.0
GB04707223	NL34324431	100.0	99.0	Directed	99.0
GB06986651	GB04534247	100.0	100.0	Directed	100.0
GB07847874	GB04707223	100.0	100.0	Directed	100.0
GB07847880	GB04707223	100.0	100.0	Directed	100.0
HK0002180667	NL34324431	100.0	100.0	Directed	100.0
IE240606	NL34324431	100.0	50.01	Directed	50.01
IE440929	NL34324431	100.0	100.0	Directed	100.0
IT13400090158	NL34324431	100.0	100.0	Directed	100.0
JP*110014681600	GB04534247	100.0	100.0	Directed	100.0
JP*931409176	GB04534247	100.0	0.0	Directed	50.01
KR1101140144309	GB04534247	100.0	100.0	Directed	100.0
NL24439534	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
NL34324431	ACTIVISION BLIZZARD INC	100.0	99.0	Directed	99.0
NL64357767	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	99.0
NL68129173	NL34324431	100.0	100.0	Directed	100.0
SE5566204763	NL34324431	100.0	100.0	Directed	100.0
SE5566532064	ACTIVISION BLIZZARD INC	100.0	50.01	Directed	50.01
US*110014681601	GB04534247	100.0	100.0	Directed	100.0
US*110165032543	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US*110165032544	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US*110165032545	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US*190521502067	ACTIVISION BLIZZARD INC	100.0	100.0	Directed	100.0
US*930044318	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US123374660L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US123912900L	US169357476L	100.0	0.0	Directed	50.01
US124072570L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US125803988L	US149119255L	100.0	0.0	Directed	50.01
US126126154L	US149100569L	100.0	0.0	Directed	50.01
US126904212L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US127250648L	US149119255L	100.0	0.0	Directed	50.01
US128898080L	US149100568L	100.0	0.0	Directed	50.01
US129188725L	US149100568L	100.0	0.0	Directed	50.01
US130510686L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US131213612L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US132561259L	US149100568L	100.0	0.0	Directed	50.01
US132609091L	US149100568L	100.0	0.0	Directed	50.01
US132885061L	US149100568L	100.0	0.0	Directed	50.01
US135758543L	US149119255L	100.0	0.0	Directed	50.01
US137727643L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US138509538L	US149100568L	100.0	0.0	Directed	50.01
US138621409L	US149100568L	100.0	0.0	Directed	50.01
US139405733L	US149119255L	100.0	0.0	Directed	50.01
US148725431L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US149100568L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US149100569L	US149100568L	100.0	0.0	Directed	50.01
US149119255L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US149430552L	US169357476L	100.0	0.0	Directed	50.01
US150204099L	US149119255L	100.0	0.0	Directed	50.01
US150260487L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US164989134L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US169357476L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US188587494L	US149100568L	100.0	0.0	Directed	50.01
US188651166L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US200012133L	US169357476L	100.0	0.0	Directed	50.01
US208787511L	US130510686L	100.0	0.0	Directed	50.01
US223650875L	US169357476L	100.0	0.0	Directed	50.01
US240764996L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US246425438L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
US254965541L	GB04534247	100.0	0.0	Directed	50.01
US255396200L	US169357476L	100.0	0.0	Directed	50.01
US268732184L	US149100568L	100.0	0.0	Directed	50.01
US270073406L	US149100568L	100.0	0.0	Directed	50.01
US275594969L	ACTIVISION BLIZZARD INC	100.0	0.0	Directed	50.01
