Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
US*190521502067	OMNIATA INC.	US					
NL34324431	ACTIVISION BLIZZARD INTERNATIONAL B.V.	US	1806.0	83.0	1529	114.0	108.0
DE8330360444	ACTIVISION BLIZZARD DEUTSCHLAND GMBH	US	88.0	53.0	56	2.0	2.0
DE8230288251	NBG EDV HANDELS- UND VERLAGS GMBH	US	21.0	34.0	36	0.0	0.0
IT13400090158	ACTIVISION BLIZZARD ITALIA S.R.L.	US	26.0	23.0	36	1.0	0.0
SE5566204763	ACTIVISION BLIZZARD NORDIC AB	US	30.0	24.0	17	1.0	1.0
ESB80170806	ACTIVISION BLIZZARD SPAIN SL	US	32.0	30.0	22	1.0	-1.0
DE8230333327	ACTIVISION VERMÖGENSVERWALTUNGS GMBH	US			1		
HK0002180667	BLIZZARD ENTERTAINMENT (HONG KONG), LIMITED	US					
CN9364579183	BAOXUE SOFTWARE R&D ( SHANGHAI ) CO.,LTD	US	20.0		12		
IE440929	BLIZZARD ENTERTAINMENT IRELAND LIMITED	US	29.0	465.0	9	3.0	2.0
NL68129173	THE OVERWATCH LEAGUE B.V.	US					
GB04707223	ACTIVISION EUROPE, LIMITED	US			212	85.0	85.0
GB01709830	ACTIVISION BLIZZARD UK LTD	US	76.0	146.0	121	2.0	2.0
GB07847874	CENTRAL TECHNOLOGY NORTH LIMITED	US	2.0	9.0	1	0.0	0.0
GB03136477	COMBINED DISTRIBUTION (HOLDINGS) LIMITED	US	0.0		56	70.0	70.0
GB01673860	CENTRESOFT LIMITED	US	333.0	139.0	145	14.0	12.0
GB04472310	ADVANTAGE ENTERTAINMENT DISTRIBUTION LIMITED	US			<0,5		
GB02105582	P.D.Q. DISTRIBUTION LIMITED	US	6.0	53.0	9	0.0	0.0
GB04604940	FREESTYLEGAMES LIMITED	US	10.0	75.0	9	1.0	0.0
GB07847880	THE BLAST FURNACE LIMITED	US	0.0	3.0	1	0.0	0.0
IE240606	ACTIVISION BLIZZARD IRELAND LIMITED	US	10.0	85.0	4	1.0	1.0
NL64357767	ABS PARTNERS C.V.	US					
US131213612L	ACTIVISIO INC	US					
US137727643L	ACTIVISIO INC	US					
US130510686L	ACTIVISION	US					
US208787511L	ACTIVISION %JVC DISCOUNT AMERICA	US					
US148725431L	ACTIVISION PUBLISHING	US					
US169357476L	ACTIVISION PUBLISHING INC	US					
US200012133L	ACTIVISION PUBLISHING	US					
US255396200L	ACTIVISION PUBLISHING	US					
US223650875L	RED OCTANE	US					
US123912900L	REDOCTANE	US					
US149430552L	REDOCTANE	US					
US246425438L	ACTIVISION PUBLISHING INC	US					
US149119255L	BLIZZARD ENTERTAINMENT	US					
US125803988L	BLIZZARD CORP	US					
US139405733L	BLIZZARD CORP	US					
US150204099L	BLIZZARD CORP	US					
US127250648L	BLIZZARD INC	US					
US135758543L	BLIZZARD LLC	US					
US188651166L	NEVERSOFT ENTERTAINMENT INC	US					
US149100568L	SIERRA ENTERTAINMENT INC	US					
US188587494L	CORPORATE DYNAMIX	US					
US129188725L	DYNA-MIX	US					
US128898080L	DYNA-MIX INC	US					
US132561259L	DYNA-MIX INC	US					
US132609091L	DYNA-MIX INC	US					
US132885061L	DYNAMIX CORP	US					
US138621409L	DYNAMIX INC	US					
US149100569L	DYNAMIX INC	US					
US126126154L	DYNAMIX CORP	US					
US268732184L	DYNAMIX LLC	US					
US138509538L	SIERRA E INC	US					
US270073406L	SIERRA ENTERTAINMENT	US					
US240764996L	SLEDGEHAMMER GAMES INC	US					
US275594969L	SLEDGHAMMER GAMES, INC	US					
US124072570L	TREY ARCH LLC	US					
US164989134L	VICARIOUS VISIONS	US					
US*110165032543	ACTIVISION PUBLISHING, INC	US					
NL24439534	ATVI C.V.	US					
US150260487L	BLIZZARD ENTERTAINMENT INC	US					
FR489952457	BLIZZARD ENTERTAINMENT SAS	US	481.0	516.0	158	16.0	8.0
GB*110007707966	CDH CONSOLIDATED	US					
CA*930044295	DEMONWARE CANADA	US					
US123374660L	INFINITY WARD	US					
US*110165032544	KING.COM (US) LLC	US					
US*110165032545	KING.COM LIMITED	US					
SE5566532064	MIDASPLAYER AB	US	267.0	584.0	151	110.0	88.0
GB04534247	MIDASPLAYER.COM LTD.	US	319.0	411.0	236	101.0	78.0
GB06986651	ASTRAPIA LIMITED	US	1.0		2	1.0	1.0
CN*110014681599	KING DIGITAL TECHNOLOGY (SHANGHAI) CO. LTD	US					
JP*110014681600	KING JAPAN CO. LTD	US					
KR1101140144309	KING KOREA LIMITED	US					
US*110014681601	KING.COM INC.	US					
DE2151268067	MIDASPLAYER VERTRIEBS GMBH	US	7.0	50.0	51		
US254965541L	KING COM INC	US					
JP*931409176	KING JAPAN CO LTD	US					
CA*190521468194	RADICAL ENTERTAINMENT INC	US					
US*930044318	TREYARCH CORPORATION	US					
US126904212L	VICARIOUS VISIONS INC	US	3.0	35.0			
