Target	Source	Weight	Total	Type	max
AT9110124879	APPLE INC.	100.0	100.0	Directed	100.0
BE0836157420	APPLE INC.	100.0	50.01	Directed	50.01
CA*190521552098	APPLE INC.	100.0	100.0	Directed	100.0
CA149093809L	APPLE INC.	100.0	0.0	Directed	50.01
CA176752383L	APPLE INC.	100.0	0.0	Directed	50.01
CA176752389L	APPLE INC.	100.0	0.0	Directed	50.01
CA199272147L	APPLE INC.	100.0	0.0	Directed	50.01
CA201190758L	APPLE INC.	100.0	0.0	Directed	50.01
CA220041467L	APPLE INC.	100.0	0.0	Directed	50.01
CA222487430L	APPLE INC.	100.0	0.0	Directed	50.01
CA275241152L	APPLE INC.	100.0	100.0	Directed	100.0
CHCHE105920339	IE076927	100.0	100.0	Directed	100.0
CHCHE235633520	APPLE INC.	100.0	100.0	Directed	100.0
CN9364513877	IE076941	100.0	100.0	Directed	100.0
CZ28897501	APPLE INC.	100.0	100.0	Directed	100.0
DE6070587865	IE379311	100.0	100.0	Directed	100.0
DE8170000135	APPLE INC.	100.0	100.0	Directed	100.0
DE8330151266	US132948910L	100.0	100.0	Directed	100.0
ESA58022724	APPLE INC.	100.0	100.0	Directed	100.0
ESB65130643	IE379311	100.0	100.0	Directed	100.0
FI*Z00247568	APPLE INC.	100.0	100.0	Directed	100.0
FI20653375	APPLE INC.	100.0	100.0	Directed	100.0
FR322120916	APPLE INC.	100.0	0.0	Directed	99.75
FR483209383	APPLE INC.	100.0	0.0	Directed	50.01
FR812620433	APPLE INC.	100.0	100.0	Directed	100.0
GB*Z00020665	APPLE INC.	100.0	100.0	Directed	100.0
GB*Z00076298	APPLE INC.	100.0	100.0	Directed	100.0
GB01591116	IE076941	100.0	100.0	Directed	100.0
GB03555357	GB08125916	100.0	0.0	Directed	99.99
GB05051046	IE076927	100.0	100.0	Directed	100.0
GB08125916	US*B000102230	100.0	100.0	Directed	100.0
HK0001415481	IE076941	100.0	100.0	Directed	100.0
IE076927	APPLE INC.	100.0	100.0	Directed	100.0
IE076941	APPLE INC.	100.0	99.99	Directed	99.99
IE086705	IE076941	100.0	0.0	Directed	99.98
IE157192	APPLE INC.	33.33555570371358	100.0	Directed	100.0
IE157192	IE076941	66.66444429628642	0.0	Directed	99.99
IE379311	US*B000003712	100.0	99.0	Directed	99.0
IL*Z00255655	APPLE INC.	100.0	100.0	Directed	100.0
IL51-448-9595	APPLE INC.	100.0	100.0	Directed	100.0
IL64-930-2668	APPLE INC.	100.0	100.0	Directed	100.0
IN0013095033	APPLE INC.	100.0	100.0	Directed	100.0
IT04935230963	IE379311	100.0	100.0	Directed	100.0
IT12036460157	APPLE INC.	100.0	0.0	Directed	95.0
NL08058671	IE086705	100.0	100.0	Directed	100.0
NL30063224	NL08058671	100.0	100.0	Directed	100.0
NL34236124	IE379311	100.0	100.0	Directed	100.0
NZ9429033237756	APPLE INC.	100.0	100.0	Directed	100.0
PL140717494	APPLE INC.	100.0	100.0	Directed	100.0
PT508141966	APPLE INC.	100.0	100.0	Directed	100.0
RU38250001	NL08058671	100.0	0.0	Directed	99.5
SE5562377647	APPLE INC.	100.0	100.0	Directed	100.0
SG198903166R	IE076941	100.0	100.0	Directed	100.0
US*190521478166	US*190521484642	100.0	100.0	Directed	100.0
US*190521480879	US593521332	100.0	100.0	Directed	100.0
US*190521484642	APPLE INC.	100.0	100.0	Directed	100.0
US*190521512144	APPLE INC.	100.0	100.0	Directed	100.0
US*190521524430	APPLE INC.	100.0	100.0	Directed	100.0
US*190521532337	APPLE INC.	100.0	100.0	Directed	100.0
US*190521532622	APPLE INC.	100.0	100.0	Directed	100.0
US*190521539558	APPLE INC.	100.0	100.0	Directed	100.0
US*190521552945	APPLE INC.	100.0	100.0	Directed	100.0
US*904622102	APPLE INC.	100.0	100.0	Directed	100.0
US*908419223	APPLE INC.	100.0	100.0	Directed	100.0
US*940058104	APPLE INC.	100.0	100.0	Directed	100.0
US*B000003712	APPLE INC.	100.0	50.01	Directed	50.01
US*B000089474	US241573799L	100.0	99.0	Directed	99.0
US*B000102230	APPLE INC.	100.0	99.0	Directed	99.0
