Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
SE5562377647	APPLE AKTIEBOLAG	US	94.0	203.0	183.0	52.0	40.0
CZ28897501	APPLE CZECH, S.R.O.	US	7.0	75.0	3.0	0.0	1.0
AT9110124879	APPLE GESELLSCHAFT M.B.H.	US			29.0		
DE8170000135	APPLE GMBH	US	181.0	349.0	269.0	74.0	51.0
ESA58022724	APPLE MARKETING IBERIA SA	US	42.0	117.0	75.0	18.0	12.0
IE076927	APPLE OPERATIONS EUROPE	US					
GB05051046	APPLE EUROPE LIMITED	US	291.0	605.0	463.0	22.0	24.0
CHCHE105920339	APPLE SWITZERLAND AG	US		15.0			
PL140717494	APPLE POLAND SP. Z O.O.	US	12.0		17.0	8.0	7.0
PT508141966	APPLE PORTUGAL, UNIPESSOAL, LDA	US	6.0	23.0	8.0	2.0	1.0
FI20653375	BEDDIT OY	US	1.0	13.0	3.0	-2.0	-2.0
US141787951L	BRAEBURN CAPITAL INC	US					
US*190521512144	BROADMAP, LLC	US					
US*190521484642	BURSTLY, INC.	US					
US*190521478166	TESTFLIGHT APP, INC.	US					
US*190521539558	CHOMP INC.	US					
US244991414L	COHERENT NAVIGATION INC	US	1.0	1.0			
US292111640L	COHERENT NAVIGATION	US					
US*904622102	CUE	US					
US*190521552945	DATO INC	US					
US246625835L	EMBARK INC	US					
US*Z00004382	EMOTIENT INC.	US					
US276052262L	FLYBY MEDIA INC	US					
US262594151L	GIIMPSE INC	US	0.0	1.0			
US123428526L	HOPSTOP INC	US					
FI*Z00247568	INDOOR.IO	US					
US176727498L	INVISAGE TECHNOLOGIES INC	US	8.0	35.0			
US281315057L	LATTICE DATA INC	US	0.0	35.0			
US256148243L	LEARNSPROUT INC	US					
IL64-930-2668	LINX COMPUTATIONAL IMAGING LTD	US					
CA*190521552098	LOCATIONARY INC.	US					
US243663167L	LUXVUE TECHNOLOGY CORP	US	0.0	1.0			
US*Z00063823	MAPSENSE INC.	US					
US*190521532337	NOVEL PROJECTS, INC.	US					
US229590881L	PARTICLE PROGRAMMATICA INC	US					
US241317944L	PARTICLE PROGRAMMATICA	US					
US242197568L	PARTICLE PROGRAMMATICA IN	US					
US*940058104	PASSIF SEMICONDUCTOR COPORATION	US					
GB*Z00076298	PERCEPTIO	US					
US*Z00016628	POP UP ARCHIVE INC.	US					
NZ9429033237756	POWERBYPROXI LIMITED	US					
IL51-448-9595	PRIMESENSE LTD	US		122.0			
US133464825L	QUATTRO WIRELESS INC	US		75.0			
US203578254L	QUATTRO WIRELESS	US					
IL*Z00255655	REALFACE	US					
FR812620433	REGAIND	US					
US*190521524430	SIMPLE RULES INC.	US					
US*908419223	SNAPPY LABS INC	US					
US*190521532622	SNAPTIC INC.	US					
US241467302L	TOPSY LABS INC	US	3.0	35.0			
IN0013095033	TUPLEJUMP SOFTWARE PRIVATE LIMITED	US					
US*Z00056946	TYPESOFT TECHNOLOGIES INC.	US					
GB*Z00020665	VOCALLQ LTD	US					
CA275241152L	VRVANA INC	US					
US263332490L	WIFISLAM INC	US					
IE157192	APPLE SALES INTERNATIONAL	US					
CHCHE235633520	FACESHIFT GMBH	US		4.0			
IE076941	APPLE OPERATIONS INTERNATIONAL	US					
GB01591116	APPLE (UK) LIMITED	US	185.0	403.0	163.0	119.0	109.0
HK0001415481	APPLE ASIA LIMITED	US					
CN9364513877	APPLE COMPUTER TRADING (SHANGHAI) CO., LTD.	US	31751.0	1172.0	5951.0	590.0	493.0
SG198903166R	APPLE SOUTH ASIA PTE. LTD.	US	51254.0		12843.0	1021.0	968.0
IE086705	APPLE SALES IRELAND	US					
NL08058671	APPLE HOLDING B.V.	US		111.0	125.0		
NL30063224	APPLE BENELUX B.V.	US	64.0	156.0	34.0	33.0	24.0
RU38250001	LIMITED LIABILITY COMPANY APPLE RUS	US	2037.0	8104.0	401.0	118.0	106.0
FR322120916	APPLE FRANCE	US	91.0	174.0	151.0	48.0	29.0
US*B000102230	FILEMAKER INC	US					
GB08125916	FILEMAKER HOLDING COMPANY LTD.	US	0.0	3.0	0.0	23.0	23.0
GB03555357	FILEMAKER INTERNATIONAL	US	23.0	20.0	27.0	10.0	8.0
IT12036460157	APPLE ITALIA S.R.L.	US	50.0	126.0	80.0	29.0	20.0
US*B000003712	APPLE COMPUTER INC	US					
IE379311	APPLE RETAIL EUROPE UNLIMITED COMPANY	US					
DE6070587865	APPLE RETAIL GERMANY B.V. & CO. KG	US	516.0	1654.0	193.0	15.0	12.0
IT04935230963	APPLE RETAIL ITALIA S.R.L.	US	520.0	1521.0	127.0	16.0	12.0
NL34236124	APPLE RETAIL NETHERLANDS B.V.	US	111.0	331.0	55.0	2.0	2.0
ESB65130643	APPLE RETAIL SPAIN SL	US	379.0	1240.0	179.0	5.0	-8.0
US272594567L	A APPLE INC	US					
US139739981L	APPLE 135 INC	US					
CA149093809L	APPLE CANADA INC	US					
US295580252L	APPLE COMPUTER	US					
US143051893L	APPLE COMPUTER CENTER	US					
US131958433L	APPLE COMPUTER GATEWAY	US					
US164145993L	APPLE COMPUTER INC R	US					
US123098933L	APPLE COMPUTER SERVICE	US					
US145042298L	APPLE COMPUTER SERVICE	US					
US140826021L	APPLE COMPUTER SERVICES	US					
US129686934L	APPLE COMPUTER SOUTHLAKE TOWN	US					
US185146218L	APPLE COMPUTER STORE R117	US					
US164130903L	APPLE COMPUTER STORES	US					
US132282960L	APPLE COMPUTER STPRE	US					
US133039617L	APPLE COMPUTER TYSON CORNER	US					
CA199272147L	APPLE COMPUTER- SQUARE ONE	US					
US264758918L	APPLE CONT	US					
US225710912L	APPLE DEPARTMENT STORE	US					
CA201190758L	APPLE INC - FAIRVIEW MALL	US					
CA222487430L	APPLE INC - MARKET MALL	US					
CA176752383L	APPLE INC - PACIFIC CENTRE MAL	US					
US203436462L	APPLE INC - RESTON TOWN CENTER	US					
US173553903L	APPLE INC - ROYAL HAWAIIA	US					
US202123737L	APPLE INC - UPPER WEST SIDE	US					
US161699025L	APPLE INC BAYSHORE	US					
US253139837L	APPLE INC CORP	US					
US207468606L	APPLE INC DC L	US					
US186559026L	APPLE INC FASHION FAIR	US					
US164000784L	APPLE INC FLEXTRONICS	US					
US200026752L	APPLE INC FRIENDLY CENER	US					
US200026764L	APPLE INC LEGACY PLACE	US					
US165156537L	APPLE INC LEHIGH VALLEY	US					
US164426919L	APPLE INC R106	US					
US166190676L	APPLE INC RENAISSANCE	US					
CA220041467L	APPLE INC RICHMOND CENTRE	US					
US166175988L	APPLE INC TOWN SQUARE	US					
US208161039L	APPLE INC UPTOWN	US					
US208788558L	APPLE INC WALNUT ST	US					
CA176752389L	APPLE INC WEST EDMONTON MALL	US					
US186606234L	APPLE INC-R257	US					
US224236523L	APPLE INDUSTRIES INC	US					
US286747547L	APPLE INDUSTRIES INC	US					
US269916110L	APPLE INDUSTRIES INC	US					
US231429506L	APPLE INDUSTRIES INC	US					
US130949551L	APPLE INTERNATIONAL INC	US					
US294294425L	APPLE INTERNATIONAL INC	US					
US226015265L	APPLE INTERNATIONAL INC	US					
US145691418L	APPLE INTERNATIONAL INC	US					
US190840557L	APPLE LLC	US					
US136054315L	APPLE LLC	US					
US257464253L	APPLE LLC	US					
US142841920L	APPLE STORE ALA MOANA	US					
US140846073L	APPLE STORE BURLINGAME	US					
US142929232L	APPLE STORE MILLENIA	US					
US146470611L	APPLE STORE PALISADES	US					
US141365635L	APPLE STORE PALO ALTO	US					
US146847727L	APPLE STORE R134	US					
US146183762L	APPLE STORE ROOSEVELT FIELD	US					
US144519670L	APPLE STORE SOMERSET	US					
US145172333L	APPLE STORE SOUTHPARK	US					
US145181424L	APPLE STORE SOUTHPOINT	US					
US148814391L	APPLE STORE UNIVERSITY VILLAGE	US					
US142123394L	APPLE STORE WALNUT CREEK	US					
US240782429L	APPLE STORES	US					
