Target	Source	Weight	Total	Type	max
AE*110154211149	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
AE*110154211175	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
AE0000259623	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
ALK72208029P	CISCO SYSTEMS INC	100.0	50.01	Directed	50.01
AM*110154211141	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
AR30-68240893-2	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
AR30-68990729-2	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
AT9110194206	DE8350128312	100.0	100.0	Directed	100.0
AT9110194206	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
AT9110706893	AT9110194206	100.0	100.0	Directed	100.0
AT9110706893	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
AU*926059965	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
AU*926367839	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
AU*926367847	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
AU050332940	CISCO SYSTEMS INC	100.0	50.01	Directed	50.01
AU091404214	AU050332940	100.0	100.0	Directed	100.0
AU091404214	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
AU093404463	CISCO SYSTEMS INC	100.0	50.01	Directed	50.01
AU600015585	CISCO SYSTEMS INC	100.0	50.01	Directed	50.01
AU614639646	AU050332940	100.0	100.0	Directed	100.0
BA4201150090008	NL34146659	100.0	100.0	Directed	100.0
BA4201150090008	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
BD2-43996	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BE0447138227	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BE0524687549	NL34146659	100.0	100.0	Directed	100.0
BE0524687549	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
BE2-44085	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BG130076948	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BH67971	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BM28700R	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BM30221R	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BM31185R	US128046778L	79.83549050441515	99.0	Directed	99.0
BM31185R	CISCO SYSTEMS INC	20.164509495584856	50.01	Directed	50.01
BM33601R	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BM42165R	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BM44370R	US128046778L	79.83549050441515	99.0	Directed	99.0
BM44370R	CISCO SYSTEMS INC	20.164509495584856	50.01	Directed	50.01
BM45633R	US128046778L	79.83549050441515	99.0	Directed	99.0
BM45633R	CISCO SYSTEMS INC	20.164509495584856	50.01	Directed	50.01
BR*110154211172	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BR*190521562415	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BR00028666000158	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
BR09045277000105	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*110154211167	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*110154211187	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*190521460535	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*190521468552	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*903187389	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*H00089445936	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*H00089469688	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*H00089469712	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA*Z00053900	US250607768L	100.0	100.0	Directed	100.0
CA*Z00053900	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
CA132670323L	CA149170745L	100.0	0.0	Directed	50.01
CA132712179L	CISCO SYSTEMS INC	100.0	50.01	Directed	50.01
CA149170745L	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA149200938L	US130416822L	100.0	0.0	Directed	50.01
CA2-43826	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CA2-43827	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CA2-43914	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CA2-43920	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CA2-44018	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CA2-44059	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CA2-44096	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CA249203222L	US126005454L	100.0	0.0	Directed	50.01
CA273930743L	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CHCHE101641745	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
CHCHE101641745	BM30221R	100.0	100.0	Directed	100.0
CHCHE112248702	BM31185R	100.0	100.0	Directed	100.0
CHCHE112248702	US128046778L	0.0	99.0	Directed	99.0
CHCHE403653318	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CL967936405	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN*00001192911	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN*110006966879	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN*110154211136	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN*110154211199	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN*901489416	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN*923138710	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN*926367835	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN2-43829	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CN2-43830	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN2-43883	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CN2-43921	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN2-43994	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN2-44095	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN2-44118	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN9360894206	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN9361001920	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN9364725339	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CN9366687638	CISCO SYSTEMS INC	100.0	50.01	Directed	50.01
CN9392545593	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
CO8300117052	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CR3101180328	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CYC115206	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
CZ28943601	NL33260847	79.83386426872052	0.0	Directed	98.99
CZ28943601	CISCO SYSTEMS INC	20.16613573127949	50.01	Directed	50.01
CZ63979462	NL33260847	76.18684824532166	0.0	Directed	80.0
CZ63979462	CISCO SYSTEMS INC	23.81315175467835	50.01	Directed	50.01
DE5050497515	NL33288138	100.0	100.0	Directed	100.0
DE5050497515	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DE5190782961	DE8350180816	79.8387421890748	0.0	Directed	99.02
DE5190782961	CISCO SYSTEMS INC	20.161257810925218	50.01	Directed	50.01
DE6150441596	DE8350180816	100.0	100.0	Directed	100.0
DE6150441596	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DE8190502906	DE8350180816	100.0	100.0	Directed	100.0
DE8190502906	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DE8330375902	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
DE8350128312	DE8350180816	100.0	100.0	Directed	100.0
DE8350128312	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DE8350179318	DE8350180816	100.0	100.0	Directed	100.0
DE8350179318	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DE8350180816	NL33283209	100.0	100.0	Directed	100.0
DE8350180816	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DE8350186251	DE8350180816	100.0	100.0	Directed	100.0
DE8350186251	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DK14724788	DK26117615	100.0	100.0	Directed	100.0
DK14724788	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DK20456078	CISCO SYSTEMS INC	0.0	100.0	Directed	100.0
DK20456078	NL33260847	100.0	100.0	Directed	100.0
DK26117615	GB06617193	100.0	100.0	Directed	100.0
DK26117615	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DK33864620	NL33260847	100.0	100.0	Directed	100.0
DK35039945	NL34146659	100.0	100.0	Directed	100.0
DK35039945	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
DO22897SDQ	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
DZ06B0971733	FR349166561	100.0	100.0	Directed	100.0
DZ2-43909	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
EC1792040825001	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
EE11224286	NL34146659	100.0	100.0	Directed	100.0
EE11224286	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
EG2-43939	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
ES*110175548677	DK14724788	100.0	0.0	Directed	51.0
ESB65807935	ESB81254336	100.0	100.0	Directed	100.0
ESB81254336	NL34282753	100.0	100.0	Directed	100.0
ESB81254336	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
ESB83448175	ESB81254336	100.0	100.0	Directed	100.0
ESB83448175	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
ET0000019709	CISCO SYSTEMS INC	100.0	50.01	Directed	50.01
FI14739260	CISCO SYSTEMS INC	100.0	50.01	Directed	50.01
FR2-43831	CISCO SYSTEMS INC	100.0	100.0	Directed	100.0
FR349166561	NL34282753	100.0	100.0	Directed	100.0
FR349166561	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
FR443573696	FR349166561	100.0	100.0	Directed	100.0
FR443573696	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
FR447479841	NL33288138	100.0	100.0	Directed	100.0
FR447479841	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
FR449162163	FR349166561	100.0	100.0	Directed	100.0
FR449162163	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB*110154211182	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
GB*110154211198	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
GB01950497	BM45633R	100.0	100.0	Directed	100.0
GB01950497	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB02558939	NL33260847	100.0	100.0	Directed	100.0
GB02558939	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB02646785	GB03173930	100.0	100.0	Directed	100.0
GB02646785	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB02763799	GB08126561	100.0	100.0	Directed	100.0
GB03080780	GB06617193	100.0	100.0	Directed	100.0
GB03080780	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB03173930	GB06617193	100.0	100.0	Directed	100.0
GB03173930	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB03390345	GB06640658	100.0	100.0	Directed	100.0
GB03390345	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB03900118	GB02558939	100.0	100.0	Directed	100.0
GB03900118	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB04274849	NL33288138	100.0	100.0	Directed	100.0
GB04274849	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB04616240	GB06640658	100.0	100.0	Directed	100.0
GB04616240	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB05247998	GB08126561	100.0	100.0	Directed	100.0
GB05247998	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB05726224	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB05726224	US*B000082954	100.0	100.0	Directed	100.0
GB05807323	GB06640658	100.0	100.0	Directed	100.0
GB05807323	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB06147171	CISCO SYSTEMS INC	100.0	0.0	Directed	50.01
GB06617193	GB01950497	100.0	100.0	Directed	100.0
GB06617193	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB06625273	US230189588L	100.0	100.0	Directed	100.0
GB06625273	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB06640658	NL34146659	100.0	100.0	Directed	100.0
GB06640658	CISCO SYSTEMS INC	0.0	50.01	Directed	50.01
GB07594709	DK14724788	100.0	0.0	Directed	50.9
