Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
CA2-43826	AIRONET CANADA INC	US					
CA2-43827	AIRONET CANADA LTD	US					
US128515115L	ASSEMBLAGE INC	US	0	1.0			
CN2-43829	BEAUMARIS SOFTWARE RESEARCH & DEVELOPMENT (CHINA)	US					
US*929228879	BNI VIDEO	US					
FR2-43831	BROADHOP EMEA SAS	US					
GB2-43834	BROADHOP INTERNATIONAL BV (UK PERMANENT ESTABLISHMENT)	US					
US2-43839	CARIDEN FEDERAL LLC	US					
US2-43841	CARIDEN TECHNOLOGIES LLC	US					
US2-43842	CASTUP LLC	US					
RU2-44035	CISCO CAPITAL CIS LLC	US					
RU2-44036	CISCO INNOVATION CENTER LLC	US					
NL2-43867	CISCO MO BV	US					
NO2-43869	CISCO NORWAY HOLDING AS	US					
QA2-43872	CISCO OSTP-LLC	US					
US2-43875	CISCO RZ LLC	US					
YY2-43877	CISCO SERBIA DOO BEOGRAD	US					
RU2-44038	CISCO SOLUTIONS LLC	US					
CN2-43883	CISCO SYSTEMS (CHINA) INFORMATION TECHNOLOGY SERVICES LTD	US					
CA2-43914	CISCO SYSTEMS CANADA CO/LES SYSTEMES CISCO CANADA CIE	US					
YY2-43933	CISCO SYSTEMS CROATIA LTD FOR TRADE	US					
GB2-43949	CISCO SYSTEMS FINANCE INTERNATIONAL UK	US					
YY2-43961	CISCO SYSTEMS INTERNETWORKING DOO ZA MARKETING TENICKE I DRUGE USLUGE SARAJEVO	US					
IL2-43964	CISCO SYSTEMS ISAEL LTD	US					
GR094497464	CISCO SYSTEMS S.A.	US	10	35.0	5	1.0	1.0
SA0000087148	CISCO SYSTEMS SAUDI ARABIA	US					
CN9392545593	CISCO TECHNOLOGY (CHINA) CO., LTD.	US	7		16		
US2-44007	CLEAR ACCESS LLC	US					
US229377374L	CLOUPIA INC	US	0	1.0			
MU2-44013	CSI BD	US					
GB2-44016	DIVITECH A/S	US					
CA2-44018	EXTENDMEDIA ULC	US					
US262411064L	HEROIK LABS	US	0	1.0			
US2-44022	INLET TECHNOLOGIES LLC	US					
US2-44023	INTUCELL LLC	US					
US263278565L	JASPER TECHNOLOGIES INC	US	8	15.0			
US226226972L	JOULEX	US					
US247130516L	JOULEX INC	US					
IL2-44032	JUNGO LTD	US					
US2-44033	JUNGO SOFTWARE TECHNOLOGIES LLC	US					
US2-44034	LIGHTWIRE LLC	US					
US2-44042	MOTO DEVELOPMENT GROUP LLC	US					
DE8330375902	NDS GMBH	US			1		
GB2-44053	NDS HOLDINGS BV (UK)	US					
CA2-44059	NDS TECHNOLOGIES CANADA ULC	US					
US2-44060	NDS TREASURY (AMERICAS) LLC	US					
US2-44061	NDS TREASURY (JERSEY) LTD	US					
ZA2-44066	NEWSHELF 1107 (PTY) LTD	US					
US2-44067	ORATIVE CORPORATION	US					
US256293140L	PERSPICA NETWORKS INC	US					
US276175361L	PERSPICA NETWORKS	US					
US2-44077	REACTIVITY LLC	US					
US2-44078	ROHATI SYSTEMS LLC	US					
GE2-44086	SCIENTIFIC-ATLANTA LLC	US					
YY2-44089	SIA CISCO LATIVA	US					
YY2-44090	SMALL WELLS SERVICES SA	US					
US2-44092	SOLVEDIRECT SERVICE MANAGEMENT LLC	US					
US522289365	SOURCEFIRE, INC.	US	223	599.0	365	9.0	5.0
US227691461L	IMMUNET CORP	US		15.0			
US263800511L	SPRINGPATH INC	US	3	7.0			
CA2-44096	STARENT NETWORKS CANADA LTD	US					
US2-44099	SVPLA LLC	US					
US280583030L	SYNATA INC	US					
SG2-44101	TANDBERG INDIA PVT LTD	US					
US2-44105	TASKDOCK LLC	US					
US2-44107	TIDAL SOFTWARE LLC	US					
US2-44108	TIGERME LLC	US					
IN2-44110	TOPSIN COMMUNICATIONS TECHNOLOGIES INDIA PVT LTD	US					
US2-44111	TRUVISO LLC	US					
US2-44113	UBIQUISYS (USA) LLC	US					
JP2-44114	UBIQUISYS KK	US					
US2-44116	VCIDER LLC	US					
US*190521551101	VCIDER, INC.	US					
US245885894L	VIPTELA INC	US	3	7.0			
US*190521510829	VIRTUATA INC	US					
US2-44117	VIRUATA LLC	US					
US231135731L	WHIPTAIL TECHNOLOGIES	US	0	1.0			
KR1101140130051	CISCO SYSTEMS CAPITAL KOREA LTD.	US	21	5.0	191	-9.0	7.0
DK20456078	CISCO SYSTEMS DANMARK APS	US		131.0	35	3.0	2.0
IN*E00604388	SCIENTIFIC-ATLANTA INDIA TECHNOLOGY PRIVATE LIMITED BO	US					
