Target	Source	Weight	Total	Type	max
AE*110007618767	US943292913	66.66666666666667	0.0	Directed	50.01
AE*110007618767	DELL TECHNOLOGIES INC.	33.333333333333336	50.01	Directed	50.01
AE*110165154733	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
AE0000652219	US742487834	66.66666666666667	0.0	Directed	50.01
AE0000652219	DELL TECHNOLOGIES INC.	33.333333333333336	50.01	Directed	50.01
AM*1550050253	US943292913	66.66666666666667	0.0	Directed	50.01
AM*1550050253	DELL TECHNOLOGIES INC.	33.333333333333336	50.01	Directed	50.01
AR2-46396	US042680009	100.0	100.0	Directed	100.0
AR30-69621600-9	US042680009	66.66222251849877	100.0	Directed	100.0
AR30-69621600-9	DELL TECHNOLOGIES INC.	33.337777481501234	50.01	Directed	50.01
AT2-46399	US042680009	100.0	100.0	Directed	100.0
AT9110158845	US742487834	0.0	100.0	Directed	100.0
AT9110158845	DELL TECHNOLOGIES INC.	0.0	50.01	Directed	50.01
AT9110158845	US*B000059931	100.0	100.0	Directed	100.0
AT9110259952	IE461022	100.0	100.0	Directed	100.0
AT9110259952	DELL TECHNOLOGIES INC.	0.0	50.01	Directed	50.01
AT9110329652	US042680009	100.0	100.0	Directed	100.0
AT9110622134	IE454020	100.0	100.0	Directed	100.0
AT9110622134	US943292913	0.0	50.01	Directed	50.01
AU*110002001588	US742487834	100.0	0.0	Directed	50.01
AU*918312693	US742487834	100.0	0.0	Directed	50.01
AU003855561	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
AU122677089	US943292913	100.0	50.01	Directed	50.01
AU143603123	DELL TECHNOLOGIES INC.	100.0	50.01	Directed	50.01
AU147871841	DELL TECHNOLOGIES INC.	100.0	50.01	Directed	50.01
AU162413274	DELL TECHNOLOGIES INC.	100.0	50.01	Directed	50.01
AU2-147612	US742487834	100.0	100.0	Directed	100.0
AU2-147718	US742487834	100.0	100.0	Directed	100.0
AU2-46463	US042680009	100.0	100.0	Directed	100.0
AU2-46491	US042680009	100.0	100.0	Directed	100.0
AU2-46497	US042680009	100.0	100.0	Directed	100.0
AU2-46500	US042680009	100.0	100.0	Directed	100.0
AU605421583	US270463349	66.66666666666667	0.0	Directed	50.01
AU605421583	DELL TECHNOLOGIES INC.	33.333333333333336	50.01	Directed	50.01
AU608792490	DELL TECHNOLOGIES INC.	23.81315175467835	50.01	Directed	50.01
AU608792490	AU162413274	76.18684824532166	80.0	Directed	80.0
AU609769959	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BB2-147616	US742487834	100.0	100.0	Directed	100.0
BB2-46408	US042680009	100.0	100.0	Directed	100.0
BB2-46412	US042680009	100.0	100.0	Directed	100.0
BE*110002001574	US742487834	100.0	0.0	Directed	50.01
BE*110002001597	US742487834	100.0	0.0	Directed	50.01
BE0413693716	US042680009	100.0	100.0	Directed	100.0
BE0413693716	DELL TECHNOLOGIES INC.	0.0	50.01	Directed	50.01
BE0447550278	NL33287688	66.65777540677514	0.0	Directed	99.96
BE0447550278	US742487834	33.34222459322486	100.0	Directed	100.0
BE0882025750	US742487834	100.0	0.0	Directed	50.01
BG*110165154822	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BG200341975	IE402208	100.0	100.0	Directed	100.0
BG200341975	US943292913	0.0	50.01	Directed	50.01
BM27663R	US742487834	100.0	0.0	Directed	50.01
BM27979R	US742487834	100.0	50.01	Directed	50.01
BM42601R	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BM42610R	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BM42619R	US042680009	79.83549050441515	99.0	Directed	99.0
BM42619R	DELL TECHNOLOGIES INC.	20.164509495584856	50.01	Directed	50.01
BM42623R	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BM47491R	US042680009	79.83549050441515	99.0	Directed	99.0
BM47491R	DELL TECHNOLOGIES INC.	20.164509495584856	50.01	Directed	50.01
BM47492R	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BM49924R	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BR01462017000123	US042680009	66.66222251849877	100.0	Directed	100.0
BR01462017000123	DELL TECHNOLOGIES INC.	33.337777481501234	50.01	Directed	50.01
BR01838563000116	US042680009	100.0	100.0	Directed	100.0
BR03844620000103	US742487834	100.0	0.0	Directed	50.01
BR17711017000150	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BR19758880000198	US943292913	66.66666666666667	0.0	Directed	50.01
BR19758880000198	DELL TECHNOLOGIES INC.	33.333333333333336	50.01	Directed	50.01
BR2-46407	US042680009	100.0	100.0	Directed	100.0
BR2-46473	US042680009	100.0	100.0	Directed	100.0
BR22845695000145	DELL TECHNOLOGIES INC.	100.0	0.0	Directed	50.01
BR72381189000110	US742487834	100.0	100.0	Directed	100.0
