Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
YY*Q000-750943	EMC CORPORATION	US					
SE5563696631	DELL AKTIEBOLAG	US	41	186.0	43	6.0	4.0
US270463349	SECUREWORKS CORP.	US	430	2306.0	999	-63.0	-38.0
AU605421583	SECUREWORKS AUSTRALIA PTY. LTD.	US	6		5	0.0	0.0
GB09546890	SECUREWORKS EUROPE LIMITED	US	32	193.0	35	1.0	1.0
US149190175L	SECUREWORKS INC	US					
US259273253L	SECURE WORKS	US					
IN0015211076	SECUREWORKS INDIA PRIVATE LIMITED	US					
JP8010401118267	SECUREWORKS JAPAN K.K.	US					
FR812400893	SECUREWORKS SAS	US	1		2	0.0	0.0
US943292913	VMWARE, INC.	US	7093	19900.0	16643	1473.0	1186.0
US*Z00041022	ARKIN NET INC.	US					
US250764329L	CLOUDVOLUMES INC	US					
US243503096L	CRITTERCISM INC	US	0	1.0			
US224672753L	DYNAMICOPS LLC	US					
NL34312777	IMMIDIO B.V.	US		2.0	11		
US129008669L	MOMENTUM SOFTWARE INC	US	8	75.0			
US129008668L	MOMENTUM SOFTWARE	US					
US163407240L	PACKETMOTION INC	US	3	15.0			
US231275468L	SOCIALCAST INC	US					
US240398660L	THIRD SKY INC	US	3	7.0			
IE402208	VMWARE INTERNATIONAL LIMITED	US	3461	773.0	3230	72.0	5.0
GB07520038	AIRWATCH UK LIMITED	US	43	270.0	13	2.0	2.0
BG200341975	VMWARE BULGARIA EOOD	US	38	610.0	18	-8.0	-8.0
DK30582705	VMWARE DENMARK APS	US	9	34.0	4	0.0	0.0
IT05948160964	VMWARE ITALY S.R.L.	US	25	98.0	9	1.0	0.0
SE5567122188	VMWARE SWEDEN AB	US	12	45.0	5	1.0	0.0
CHCHE108590014	VMWARE SWITZERLAND GMBH	US		35.0			
GB06001046	VMWARE UK LIMITED	US	158	515.0	155	1.0	-1.0
NZ9429041975121	VMWARE NZ COMPANY	US					
IN0005424518	VMWARE SOFTWARE INDIA PRIVATE LIMITED	US	171		88	21.0	13.0
US2-46501	VMWARE GLOBAL INC	US					
IE417840	VMWARE BERMUDA LIMITED	US	1906		5565	847.0	847.0
IE454020	VMWARE INTERNATIONAL MARKETING LIMITED	US	25	3.0	71	4.0	3.0
FR451782684	VMWARE FRANCE	US	82	206.0	40	6.0	2.0
AT9110622134	VMWARE MARKETING AUSTRIA GMBH	US			2		
