Target	Source	Weight	Total	Type	max
AE2-61021	GAP INC	100.0	100.0	Directed	100.0
BM24678R	GAP INC	100.0	0.0	Directed	50.01
CA*1709941536	GAP INC	100.0	0.0	Directed	50.01
CA132742548L	US124345275L	100.0	0.0	Directed	50.01
CA149146309L	GAP INC	100.0	0.0	Directed	50.01
CA149146310L	CA149146309L	100.0	0.0	Directed	50.01
CA149763351L	US135221485L	100.0	0.0	Directed	50.01
CA192533370L	US124345275L	100.0	0.0	Directed	50.01
CA193468251L	US124345275L	100.0	0.0	Directed	50.01
CA193468254L	US124345275L	100.0	0.0	Directed	50.01
CA2-61004	GAP INC	100.0	0.0	Directed	50.01
CA231951602L	US135221485L	100.0	0.0	Directed	50.01
CA259985231L	CA149146309L	100.0	0.0	Directed	50.01
CA260840702L	CA149146309L	100.0	0.0	Directed	50.01
CA261071699L	CA149146309L	100.0	0.0	Directed	50.01
CN*110018800904	GAP INC	100.0	0.0	Directed	50.01
CN9366693288	GAP INC	100.0	100.0	Directed	100.0
FR391918158	GAP INC	100.0	0.0	Directed	50.01
GB02007379	GAP INC	100.0	99.0	Directed	99.0
GB02275771	GB03720778	100.0	100.0	Directed	100.0
GB02275771	GAP INC	0.0	50.01	Directed	50.01
GB03720778	NL33285443	100.0	100.0	Directed	100.0
GB03720778	GAP INC	0.0	50.01	Directed	50.01
GB06279672	GB03720778	100.0	100.0	Directed	100.0
GB06279672	GAP INC	0.0	50.01	Directed	50.01
HK0000182471	GAP INC	100.0	0.0	Directed	50.01
HK0000267072	GAP INC	100.0	0.0	Directed	50.01
HK0000267086	GAP INC	100.0	0.0	Directed	50.01
HN2-61022	GAP INC	100.0	100.0	Directed	100.0
IE422253	GB03720778	100.0	100.0	Directed	100.0
IE422253	GAP INC	0.0	50.01	Directed	50.01
IN0000022728	GAP INC	100.0	50.01	Directed	50.01
IT05038340484	GAP INC	100.0	0.0	Directed	50.01
JP2-61026	GAP INC	100.0	0.0	Directed	50.01
JP2-61027	GAP INC	100.0	0.0	Directed	50.01
JP2-61035	GAP INC	100.0	0.0	Directed	50.01
JP2-61036	GAP INC	100.0	0.0	Directed	50.01
JP2011001072620	GAP INC	100.0	0.0	Directed	50.01
MXGIS1503106P6	GAP INC	100.0	0.0	Directed	50.01
MXGIS970627K76	GAP INC	100.0	0.0	Directed	50.01
MXLEI331950	GAP INC	100.0	0.0	Directed	50.01
MXOSM140901RL6	GAP INC	100.0	0.0	Directed	50.01
NL33285443	GAP INC	100.0	0.0	Directed	50.01
SG198801549E	GAP INC	100.0	0.0	Directed	50.01
TH0105543096266	GAP INC	100.0	100.0	Directed	100.0
TW54363555	GAP INC	100.0	0.0	Directed	50.01
US*110140830835	GAP INC	100.0	0.0	Directed	50.01
US*110174845228	GAP INC	100.0	0.0	Directed	50.01
US*1709941540	GAP INC	100.0	0.0	Directed	50.01
US120569802L	US124345275L	100.0	0.0	Directed	50.01
US123147575L	US135221485L	100.0	0.0	Directed	50.01
US123284262L	US149195321L	100.0	0.0	Directed	50.01
US123706234L	US123706235L	66.66666666666667	0.0	Directed	50.01
US123706234L	GAP INC	33.333333333333336	50.01	Directed	50.01
US123706235L	GAP INC	100.0	0.0	Directed	50.01
US123918815L	US135221485L	100.0	0.0	Directed	50.01
US124345275L	GAP INC	100.0	0.0	Directed	50.01
US124345279L	US133202881L	100.0	0.0	Directed	50.01
US125638438L	US133202881L	100.0	0.0	Directed	50.01
US127147008L	US124345275L	100.0	0.0	Directed	50.01
US127452602L	GAP INC	100.0	100.0	Directed	100.0
US129297272L	US124345275L	100.0	0.0	Directed	50.01
US129375409L	US133202881L	100.0	0.0	Directed	50.01
US129588514L	US124345275L	100.0	0.0	Directed	50.01
US131754251L	US135221485L	100.0	0.0	Directed	50.01
US133202881L	GAP INC	100.0	0.0	Directed	50.01
US133336144L	US133202881L	100.0	0.0	Directed	50.01
US134103774L	US149195321L	100.0	0.0	Directed	50.01
US134621622L	US149195321L	100.0	0.0	Directed	50.01
US134849456L	US124345275L	100.0	0.0	Directed	50.01
US135221485L	GAP INC	100.0	0.0	Directed	50.01
US135248406L	US135221485L	100.0	0.0	Directed	50.01
US135886022L	US133202881L	100.0	0.0	Directed	50.01
US136366731L	US135221485L	100.0	0.0	Directed	50.01
US136572236L	US133202881L	100.0	0.0	Directed	50.01
US136990097L	US135221485L	100.0	0.0	Directed	50.01
US137305007L	US133202881L	100.0	0.0	Directed	50.01
US137552608L	US124345275L	100.0	0.0	Directed	50.01
US138549003L	US149195321L	100.0	0.0	Directed	50.01
US140450987L	US124345275L	100.0	0.0	Directed	50.01
US141179416L	US124345275L	100.0	0.0	Directed	50.01
US141440227L	US135221485L	100.0	0.0	Directed	50.01
US141628282L	US124345275L	100.0	0.0	Directed	50.01
US141640791L	US124345275L	100.0	0.0	Directed	50.01
US142273285L	US135221485L	100.0	0.0	Directed	50.01
US142511031L	US135221485L	100.0	0.0	Directed	50.01
US142875070L	US135221485L	100.0	0.0	Directed	50.01
US143115032L	US133202881L	100.0	0.0	Directed	50.01
US143286582L	GAP INC	100.0	100.0	Directed	100.0
US143658854L	US124345275L	100.0	0.0	Directed	50.01
US144122541L	US135221485L	100.0	0.0	Directed	50.01
US144225076L	US135221485L	100.0	0.0	Directed	50.01
US144514389L	US133202881L	100.0	0.0	Directed	50.01
US145823103L	US135221485L	100.0	0.0	Directed	50.01
US145960346L	US133202881L	100.0	0.0	Directed	50.01
US146347661L	US124345275L	100.0	0.0	Directed	50.01
US146859751L	US124345275L	100.0	0.0	Directed	50.01
US147513572L	US124345275L	100.0	0.0	Directed	50.01
US147840141L	US124345275L	100.0	0.0	Directed	50.01
US149195321L	GAP INC	100.0	0.0	Directed	50.01
US149736121L	US124345275L	100.0	0.0	Directed	50.01
US149873744L	US135221485L	100.0	0.0	Directed	50.01
US149900522L	US124345275L	100.0	0.0	Directed	50.01
US149959070L	US124345275L	100.0	0.0	Directed	50.01
US150106276L	US135221485L	100.0	0.0	Directed	50.01
US160191450L	US123706235L	100.0	0.0	Directed	50.01
US161228826L	US124345275L	100.0	0.0	Directed	50.01
US161230512L	US124345275L	100.0	0.0	Directed	50.01
US161373246L	US133202881L	100.0	0.0	Directed	50.01
US166369272L	US133202881L	100.0	0.0	Directed	50.01
US168922254L	US133202881L	100.0	0.0	Directed	50.01
US175259502L	US124345275L	100.0	0.0	Directed	50.01
US177145008L	US135221485L	100.0	0.0	Directed	50.01
US178990716L	US133202881L	100.0	0.0	Directed	50.01
US183996624L	US133202881L	100.0	0.0	Directed	50.01
US184225194L	US133202881L	100.0	0.0	Directed	50.01
US186725472L	GAP INC	100.0	0.0	Directed	50.01
US190437963L	GAP INC	100.0	0.0	Directed	50.01
US192207327L	US133202881L	100.0	0.0	Directed	50.01
US192810177L	US133202881L	100.0	0.0	Directed	50.01
US194761236L	GAP INC	100.0	0.0	Directed	50.01
US196933743L	US133202881L	100.0	0.0	Directed	50.01
US198610941L	US133202881L	100.0	0.0	Directed	50.01
US2-60981	GAP INC	100.0	100.0	Directed	100.0
US2-60982	GAP INC	100.0	100.0	Directed	100.0
US2-60983	GAP INC	100.0	0.0	Directed	50.01
US2-60985	GAP INC	100.0	0.0	Directed	50.01
US2-60986	GAP INC	100.0	0.0	Directed	50.01
US2-60987	GAP INC	100.0	0.0	Directed	50.01
US2-60989	GAP INC	100.0	100.0	Directed	100.0
US2-60990	GAP INC	100.0	0.0	Directed	50.01
US2-60991	GAP INC	100.0	0.0	Directed	50.01
US2-60992	GAP INC	100.0	0.0	Directed	50.01
US2-60993	GAP INC	100.0	0.0	Directed	50.01
US2-60994	GAP INC	100.0	0.0	Directed	50.01
US2-60995	GAP INC	100.0	0.0	Directed	50.01
US2-60996	GAP INC	100.0	0.0	Directed	50.01
US2-60997	GAP INC	100.0	0.0	Directed	50.01
US2-60998	GAP INC	100.0	0.0	Directed	50.01
US2-60999	GAP INC	100.0	100.0	Directed	100.0
US2-61001	GAP INC	100.0	0.0	Directed	50.01
US2-61002	GAP INC	100.0	0.0	Directed	50.01
US2-61006	GAP INC	100.0	0.0	Directed	50.01
US2-61007	GAP INC	100.0	0.0	Directed	50.01
US2-61008	GAP INC	100.0	0.0	Directed	50.01
US2-61010	GAP INC	100.0	100.0	Directed	100.0
US2-61011	GAP INC	100.0	100.0	Directed	100.0
US2-61012	GAP INC	100.0	100.0	Directed	100.0
US2-61013	GAP INC	100.0	0.0	Directed	50.01
US2-61014	GAP INC	100.0	0.0	Directed	50.01
US2-61032	GAP INC	100.0	0.0	Directed	50.01
US201880815L	US123706235L	100.0	0.0	Directed	50.01
US202435635L	US133202881L	100.0	0.0	Directed	50.01
US205390230L	US133202881L	100.0	0.0	Directed	50.01
US206939070L	US123706235L	100.0	0.0	Directed	50.01
US222493190L	US133202881L	100.0	0.0	Directed	50.01
US223577000L	GAP INC	100.0	0.0	Directed	50.01
US223808360L	US123706235L	100.0	0.0	Directed	50.01
US224337137L	US124345275L	100.0	0.0	Directed	50.01
US227444576L	US127452602L	100.0	0.0	Directed	50.01
US231047729L	US133202881L	100.0	0.0	Directed	50.01
US231973052L	US133202881L	100.0	0.0	Directed	50.01
US236593163L	US135221485L	100.0	0.0	Directed	50.01
US241184963L	US123706235L	100.0	0.0	Directed	50.01
US241493732L	US123706235L	100.0	0.0	Directed	50.01
US241511096L	US123706235L	100.0	0.0	Directed	50.01
US246934349L	GAP INC	100.0	100.0	Directed	100.0
US249886202L	GAP INC	100.0	0.0	Directed	50.01
US250018985L	US133202881L	100.0	0.0	Directed	50.01
US251309396L	US135221485L	100.0	0.0	Directed	50.01
US251741279L	US133202881L	100.0	0.0	Directed	50.01
US252010937L	US133202881L	100.0	0.0	Directed	50.01
US252337997L	US133202881L	100.0	0.0	Directed	50.01
US252571682L	US124345275L	100.0	0.0	Directed	50.01
US269400578L	US133202881L	100.0	0.0	Directed	50.01
US270842882L	US123706235L	100.0	0.0	Directed	50.01
US271421747L	US133202881L	100.0	0.0	Directed	50.01
US273699416L	US123706235L	100.0	0.0	Directed	50.01
US273710288L	US133202881L	100.0	0.0	Directed	50.01
US276912563L	US135221485L	100.0	0.0	Directed	50.01
US278098217L	US133202881L	100.0	0.0	Directed	50.01
US279040901L	US135221485L	100.0	0.0	Directed	50.01
US282435701L	US133202881L	100.0	0.0	Directed	50.01
US287836424L	US133202881L	100.0	0.0	Directed	50.01
US289786631L	US123706235L	100.0	0.0	Directed	50.01
US290105723L	US133202881L	100.0	0.0	Directed	50.01
US293762630L	US133202881L	100.0	0.0	Directed	50.01
USLEI34595	GAP INC	100.0	0.0	Directed	50.01
VN0313425233	GAP INC	0.0	50.01	Directed	50.01
VN0313425233	HK0000267086	100.0	100.0	Directed	100.0
ZA199901913807	GAP INC	100.0	100.0	Directed	100.0
