Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
US2-61012	F&T SERVICES LLC	US					
US2-60999	FORTH & TOWNE (ITM) INC	US					
US2-61011	FORTH & TOWNE LLC	US					
CN9366693288	GAP (SHANGHAI) COMMERCIAL CO., LTD.	US	407	60.0	249	-38.0	-52.0
HN2-61022	GAP INTERNATIONAL SOURCING (HONDURAS) SA DE CV	US					
TH0105543096266	GAP INTERNATIONAL SOURCING (THAILAND) CO LTD	US	1		1	0.0	0.0
AE2-61021	GAP INTERNATIONAL SOURCING FZE	US					
US2-60989	GAP INTERNATIONAL SOURCING INC	US					
US143286582L	GAP SERVICES INC	US	0	1.0			
US2-60982	GPS DISTRIBUTION FACILITIES LLC	US					
US2-60981	GPS PARK RESTAURANT INC	US					
US127452602L	GPS SERVICES	US	0	7.0			
US227444576L	GPS SERVICES INC	US					
ZA199901913807	GPS SOURCING (SOUTH AFRICA) (PTY) LTD	US					
US2-61010	GPSV LLC	US					
US246934349L	WEDDINGTON WAY INC	US	0	1.0			
GB02007379	BANANA REPUBLIC LIMITED	US			<0,5		
US123706235L	ATHLETA CORP	US					
US123706234L	ATHLETA INC	US					
US201880815L	ATHLETA INC	US					
US206939070L	ATHLETA INC	US					
US270842882L	ATHLETA INC	US					
US223808360L	ATHLETA LLC	US					
US273699416L	ATHLETA LLC	US					
US289786631L	ATHLETA LLC	US					
US160191450L	ATHLETA STE B	US					
US241184963L	ATHLETA STORE	US					
US241493732L	ATHLETA STORE	US					
US241511096L	ATHLETA STORE	US					
US124345275L	BANANA REPUBLIC	US					
US149959070L	BANANA REPUBLIC 1921 C	US					
US146859751L	BANANA REPUBLIC AT BRIDGEPORT VILLA	US					
US141628282L	BANANA REPUBLIC AT TULARE OUTLET CE	US					
US149736121L	BANANA REPUBLIC AUGUSTA MALL	US					
US141179416L	BANANA REPUBLIC BEVERLY CENTER	US					
US149900522L	BANANA REPUBLIC C	US					
US134849456L	BANANA REPUBLIC CA LLC	US					
CA193468251L	BANANA REPUBLIC CHINOOK CENTRE	US					
US143658854L	BANANA REPUBLIC FACTORY STORE	US					
US147840141L	BANANA REPUBLIC FACTORY STORE	US					
US161230512L	BANANA REPUBLIC FACTORY STORE	US					
US146347661L	BANANA REPUBLIC MENS STORE	US					
CA132742548L	BANANA REPUBLIC NEW FLOW	US					
US127147008L	BANANA REPUBLIC OUTLET STO	US					
US224337137L	BANANA REPUBLIC PRODUCTIONS LLC	US					
US161228826L	BANANA REPUBLIC QUARRY CRSS	US					
US175259502L	BANANA REPUBLIC REGGEA BAND	US					
CA192533370L	BANANA REPUBLIC RIDEAU CENTRE	US					
CA193468254L	BANANA REPUBLIC SOUTHCENTRE AB	US					
US140450987L	BANANA REPUBLIC STORE	US					
US129297272L	BANANA REPUBLIC WEST TOWN	US					
US147513572L	BANANA REPUBLIC WOMEN S STORE	US					
US120569802L	BANANA REPUBLIC WOMENS	US					
US141640791L	BANANA REPUBLIC WOMENS	US					
US252571682L	BANANA REPUBLIC-COLOR SERVICES	US					
US129588514L	BANANA REPUBLIC@HIGHLAND VILLA	US					
US137552608L	BANANA REPUBLICCOM	US					
US149195321L	FORTH & TOWNE	US					
US123284262L	FORTH & TOWNE C	US					
US134103774L	FORTH & TOWNE LLC	US					
US134621622L	FORTH & TOWNE LLC	US					
