Target	Source	Weight	Total	Type	max
AE*1550210244	US470912023	100.0	0.0	Directed	50.01
AE*906079663	US770333710	100.0	0.0	Directed	50.01
AE0000047852	FI25836605	100.0	100.0	Directed	100.0
ALK81830011C	MICROSOFT CORP.	100.0	0.0	Directed	50.01
AR30-69154843-7	FI25836605	100.0	95.0	Directed	95.0
AT*110175553336	DK76247218	100.0	100.0	Directed	100.0
AT9030190192	IE477441	100.0	100.0	Directed	100.0
AT9110865644	IE256796	100.0	100.0	Directed	100.0
AU*310530543	DK76247218	100.0	100.0	Directed	100.0
AU*310530553	DK76247218	100.0	100.0	Directed	100.0
AU*413387904	NO928109941	100.0	100.0	Directed	100.0
AU007366949	FI25836605	100.0	100.0	Directed	100.0
AU114300686	US770333710	100.0	50.01	Directed	50.01
AU140982243	US470912023	100.0	50.01	Directed	50.01
BE*310530542	DK76247218	100.0	100.0	Directed	100.0
BE0437910359	LULB180461	79.99359923190782	0.0	Directed	99.98
BE0437910359	MICROSOFT CORP.	20.00640076809217	50.01	Directed	50.01
BE0472109292	US770333710	100.0	0.0	Directed	50.01
BG130020305	MICROSOFT CORP.	100.0	100.0	Directed	100.0
BG130140607	FI25836605	100.0	100.0	Directed	100.0
BM34593R	MICROSOFT CORP.	100.0	0.0	Directed	99.0
BM37999R	MICROSOFT CORP.	100.0	99.0	Directed	99.0
BR*110009283382	NO979158831	100.0	0.0	Directed	99.0
BR02140198000134	FI23771473	100.0	99.9	Directed	99.9
BR04869651000173	US770333710	100.0	0.0	Directed	50.01
BR13638767000192	US470912023	100.0	0.0	Directed	50.01
BR60316817000103	MICROSOFT CORP.	100.0	0.0	Directed	50.01
CA*110140530646	FI25836605	100.0	100.0	Directed	100.0
CA*152117	DK76247218	100.0	100.0	Directed	100.0
CA*190521472194	US470912023	100.0	0.0	Directed	50.01
CA*190521552359	MICROSOFT CORP.	100.0	100.0	Directed	100.0
CA*Z00057421	MICROSOFT CORP.	100.0	100.0	Directed	100.0
CA*Z00250887	MICROSOFT CORP.	100.0	100.0	Directed	100.0
CA132776075L	MICROSOFT CORP.	100.0	0.0	Directed	50.01
CA149108732L	MICROSOFT CORP.	100.0	0.0	Directed	50.01
CA253163486L	US770333710	100.0	0.0	Directed	50.01
CA259651274L	CA149108732L	100.0	0.0	Directed	50.01
CH*310530556	DK76247218	100.0	100.0	Directed	100.0
CH*310530557	DK76247218	100.0	100.0	Directed	100.0
CHCHE104793742	MICROSOFT CORP.	100.0	100.0	Directed	100.0
CHCHE105240836	MICROSOFT CORP.	100.0	100.0	Directed	100.0
CHCHE106090290	FI25836605	100.0	100.0	Directed	100.0
CHCHE108542239	US770333710	100.0	50.01	Directed	50.01
CHCHE323369883	LU*Q000-6756544	100.0	100.0	Directed	100.0
CL968794205	FI25836605	100.0	99.9	Directed	99.9
CN*110137173981	US470912023	100.0	0.0	Directed	50.01
CN*110170385167	FI25836605	100.0	100.0	Directed	100.0
CN*907086613	US770333710	100.0	0.0	Directed	50.01
CN9394264879	MICROSOFT CORP.	100.0	0.0	Directed	50.0
CN9396549551	FI25836605	100.0	100.0	Directed	100.0
CO8300518875	FI25836605	100.0	97.5	Directed	97.5
CR3101148960	MICROSOFT CORP.	100.0	0.0	Directed	50.01
CYC217402	MICROSOFT CORP.	100.0	0.0	Directed	50.01
CZ*150321	DK76247218	100.0	100.0	Directed	100.0
CZ27625559	LULB111886	100.0	100.0	Directed	100.0
CZ47123737	MICROSOFT CORP.	100.0	0.0	Directed	99.85
