Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
US*Z00002919	ACOMPLI INC.	US					
US*918550663	ADALLOM INC	US					
CA*190521552359	ADXSTUDIO INC.	US					
US281318288L	ALTSPACEVR INC	US	1	15.0			
US*190521522026	APIPHANY LLC	US					
US169519467L	BLUE STRIPE SOFTWARE	US	0	35.0			
FR504586140	CAPPTAIN	US	1		10	-1.0	-1.0
US227842721L	CYCLE COMPUTING LLC	US	0	1.0			
CA*Z00057421	DATAZEN SOFTWARE INC.	US					
SE5567092886	DONYA LABS AB	US	6	30.0	5	0.0	0.0
US*110003010148	DONYA LABS INC	US					
US*Z00074006	DOUBLE LABS INC.	US					
NZ9429034051795	GREENBUTTON LIMITED	US					
US*933020331	ID8 GROUP R2 STUDIOS INC.	US					
US*Z00010957	INCENT GAMES LLC	US					
GB02646104	INTERACTIVE GAME DEVELOPMENT LIMITED	US	41		27	9.0	9.0
GB01905690	RARE LIMITED	US	19	104.0	24	2.0	1.0
US*1709903333	LIVELOOP	US					
CA*Z00250887	MALUUBA INC.	US					
US*190521547094	MARKETING PILOT SOFTWARE	US					
US*190521521546	METANAUTIX, INC.	US					
US*932019777	METRICSHUB INC.	US					
MY244003-A	MICROSOFT (MALAYSIA) SDN BHD	US	41		16	4.0	3.0
ZA199200083907	MICROSOFT (SA) (PTY) LTD	US					
FR534969647	MICROSOFT 1985 FRANCE	US	<0,5		1	0.0	0.0
BG130020305	MICROSOFT BULGARIA EOOD	US	7	43.0	3	1.0	1.0
DK76247218	MICROSOFT DEVELOPMENT CENTER COPENHAGEN APS	US	72	313.0	1403	7.0	5.0
CH*310530557	ATILLA AG	US					
AU*310530553	DAMGAARD PTY LTD	US					
BE*310530542	NAVISION BELGIUM NV	US					
FR402471106	NAVISION FRANCE SA	US	7	27.0	5	-3.0	-4.0
HU*110175553339	NAVISION HUNGARY SZOFTVER SZERVIZ KORLATORT FELELOSSEGU TASASAG	US					
NL*310530545	NAVISION NEDERLAND BV	US					
AT*110175553336	NAVISION OSTERREICH GES MBH	US					
CA*152117	NAVISION SOFTWARE CANADA, INC.	US					
CZ*150321	NAVISION SOFTWARE CESKA REPUBLIKA S.R.O.	US					
RU*311766442	NAVISION SOFTWARE CIS	US					
PL*110175553340	NAVISION SOFTWARE POLAKS SP ZOO	US					
PT*1451298	NAVISION SOFTWARE PORTUGAL SA	US					
AU*310530543	NAVISION SOFTWARE PTY LTD	US					
CH*310530556	NAVISION SOFTWARE SCHWEIZ AG	US					
ZA*158278	NAVISION SOFTWARE SOUTH AFRICA PTY LTD.	US					
SE5564886827	NAVISION SVENSKA AB	US					
US*190521502987	NAVISION US INC	US					
TR*110175553338	NAVITION YAZILIMLLETISIM HIZMETLERI LIMITED SIRKETI	US					
DE*310530549	PC & C PERSONEL COMPUTING & COMMUNICATION VERTRIEBS GMBH	US					
LT*110175553337	UAB AXAPTA	US					
IT*310309986	NAVISION SOFTWARE S.R.L	US					
SI5871964	MICROSOFT DRUZBA ZA RACUNALNISKE PROGRAME IN OPREMO D.O.O., LJUBLJANA	US	16		6	1.0	1.0
EE10955527	MICROSOFT ESTONIA OÜ	US	5	18.0	2	1.0	0.0
CHCHE104793742	MICROSOFT GLOBAL RESOURCES GMBH	US		15.0			
GR094353733	MICROSOFT HELLAS S.A.	US	36	110.0	23	4.0	2.0
HR57802034237	MICROSOFT HRVATSKA D.O.O.	US	14	51.0	9	2.0	1.0
ESB82578063	MICROSOFT INTERNATIONAL HOLDINGS SPAIN S R L	US	364	1117.0	385	50.0	35.0
DK13612870	MICROSOFT DANMARK APS	US	179	452.0	167	33.0	25.0
ESB78603495	MICROSOFT IBERICA SRL	US	201	653.0	153	22.0	13.0
FI08974643	MICROSOFT OY	US	124	261.0	124	23.0	13.0
IS4608972389	MICROSOFT ISLAND EHF.	US	4	11.0	2	1.0	0.0
JO*957044843	MICROSOFT JORDAN PSC	US					
MY468698-T	MICROSOFT KNOWLEDGE CAPITAL CENTRE SDN. BHD.	US	2		1	0.0	0.0
LV000343829	MICROSOFT LATVIA SIA	US	5	17.0	2	1.0	0.0
LU*Q000-6756544	MICROSOFT LUXEMBOURG INVESTMENT S.À R.L.	US					
CHCHE323369883	MICROSOFT SWITZERLAND INVESTMENTS GMBH	US		35.0			
CHCHE105240836	MICROSOFT MCIO SCHWEIZ GMBH	US		160.0			
ME02654555	MICROSOFT MONTENEGRO	US	0	1.0	1	0.0	0.0
US41-1531	MICROSOFT OPERATIONS PUERTO RICO	US	1	1.0			
US280299416L	MICROSOFT OPERATIONS PUERTO RICO LLC	US					
RU38285465	MICROSOFT PAYMENTS RUS, A LIMITED LIABILITY COMPANY	US	0	17.0	1	0.0	0.0
QA*939043468	MICROSOFT QSTP LLC	US					
RO8915831	MICROSOFT ROMANIA SRL	US	66	470.0	35	13.0	11.0
RU72989666	MICROSOFT RUS, A LIMITED LIABILITY COMPANY MICROSOFT RUS LLC	US	163	6991.0	70	18.0	9.0
SK31398871	MICROSOFT SLOVAKIA, S.R.O.	US	21	75.0	9	3.0	2.0
RS17402200	MICROSOFT SOFTWARE DOO BEOGRAD	US	27	170.0	8	2.0	2.0
US*190521490638	MOBILE DATA LABS INC.	US					
US2-41315	MOL CORPORATION	US					
US196765350L	PHONEFACTOR INC	US	8	35.0			
US220895786L	STORSIMPLE	US	0	1.0			
US250191731L	STORSIMPLE INC	US					
US*190521512366	SUNRISE ATELIER, INC.	US					
US*Z00290926	SWING TECHNOLOGIES INC.	US					
NL34140036	SYBARI SOFTWARE B.V.	US		2.0	45	0.0	0.0
US*Z00094549	TALKO INC.	US					
GB06671487	TOUCHTYPE LIMITED	US	12	146.0	16	-12.0	-11.0
GB07772064	TOUCHTYPE MOBILE LIMITED	US	11	3.0	24	6.0	6.0
US251505248L	TWISTED PIXEL GAMES LLC	US	1				
US*913401120	VIDEOSURF INC.	US					
US*Z00226630	WAND LABS INC.	US					
DE2012165183	6 WUNDERKINDER GMBH	US		30.0	8		
DE7331012194	BIT STADIUM GMBH	US			33		
US127295326L	MICROSOFT LICENSING GP	US					
IE290284	TELEKINESYS RESEARCH LIMITED	US	19	52.0	15	-11.0	-12.0
GB07571825	HAVOK TRL (GB) LTD	US	1	2.0	1	0.0	0.0
DE8170505539	IPION SOFTWARE GMBH	US			0		
DE2190479708	ROCKETBOX STUDIOS GMBH	US		5.0	0		
DE7270211869	TRINIGY GMBH	US			1		
MTC35520	MICROSOFT MALTA LIMITED	US	2		1	0.0	0.0
TH0105536061941	MICROSOFT (THAILAND) CO LTD	US	35		14	5.0	4.0
PT502586745	MSFT - SOFTWARE PARA MICROCOMPUTADORES, LDA	US	88	338.0	44	5.0	2.0
TH0105544044537	ONLINE LIVE (THAILAND) CO.,LTD.	US	<0,5		0	0.0	0.0
CZ47123737	MICROSOFT, S.R.O.	US	67	375.0	27	5.0	4.0
FR327733184	MICROSOFT FRANCE	US	645	1561.0	360	104.0	54.0
UA32383277	MICROSOFT UKRAINE TOV	US	12	57.0	9	2.0	1.0
PE20254138577	MICROSOFT PERU SRL	US	21	54.0			
GB03709300	CAMBRIDGE FLAT PROJECTION DISPLAYS LIMITED	US			0	0.0	0.0
LULB180461	MICROSOFT LUXEMBOURG INTERNATIONAL MOBILE SARL	US					
SE5562334804	MICROSOFT AKTIEBOLAG	US	203	585.0	105	35.0	27.0
NL34061536	MICROSOFT B.V.	US	251	785.0	186	35.0	24.0
LULB180480	MICROSOFT LUXEMBOURG USA MOBILE SAR L	US					
FI25836605	MICROSOFT MOBILE OY	US	1439	253.0	382	186.0	182.0
RU*110140530644	LIMITED LIABILITY COMPANY MICROSOFT MOBILE RUS	US					
RU98288754	LIMITED LIABILITY COMPANY NOKIA	US	61	4671.0	8	-5.0	6.0
ZA199801890107	MICROSOFT 1968 SOUTH AFRICA (PTY) LTD	US					
CN9396549551	MICROSOFT MOBILE (CHINA) INVESTMENTS CO., LTD.	US	208		1365	505.0	478.0
CN*110170385167	MICROSOFT MOBILE (HK) LIMITED	US					
IE146992	MICROSOFT MOBILE (IRELAND) LIMITED	US	15		18	0.0	0.0
AU007366949	MICROSOFT MOBILE AUSTRALIA PTY LTD	US	42	23.0	14	0.0	-2.0
