Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
CN2-95741	CONVERSE (ASIA PACIFIC) LTD	US					
CN2-95743	CONVERSE HONG KONG HOLDING COMPANY LTD	US					
CN2-95744	CONVERSE HONG KONG LTD	US					
US2-42599	CONVERSE INC	US					
US161561877L	EXETER BRANDS GROUP LLC	US					
USAK-131471	HURLEY INTERNATIONAL LLC	US					
US2-42600	HURLEY INTERNATIONAL LLC	US					
IT2-95774	JUVENTUS MERCHANDISING SRL	US					
BR2-95735	LATAM SERVICOS DE LICENCIAMENTO ESPORTIVO LTDA	US					
GB2-95842	NIKE CORTEZ	US					
CR3102661863	NIKE COSTA RICA SOCIEDAD DE RESPONSABILIDAD LIMITADA	US					
GB2-95843	NIKE FINANCE LTD	US					
GB2-95844	NIKE FLIGHT	US					
GB2-95845	NIKE FORCE	US					
CN2-95748	NIKE HONG KONG LTD	US					
GB2-95846	NIKE HUARACHE	US					
US268651028L	NIKE IHM INC	US					
GB2-95848	NIKE JUMP LTD	US					
GB2-95849	NIKE LAVADOME	US					
US2-95872	NIKE MAX LLC	US					
GB2-95855	NIKE PEGASUS	US					
SI3868613	NIKE TRGOVINA NA DEBELO D.O.O.	US	2.0	6.0	0.0	0.0	0.0
US2-95878	NIKE USA INC	US					
GB2-95859	NIKE WAFFLE	US					
HK2-95766	UMBRO HONG KONG LTD	US					
US2-95886	UMBRO INTERNATIONAL JV	US					
GB2-95862	UMBRO SPORTWEAR LTD	US					
GB2-95864	UMBROCOM	US					
MXNME920220KL4	NIKE DE MEXICO S DE RL DE CV	US		300.0			
US129156096L	NIKE VISION TIMING & TECHLAB LP	US					
NL32124648	NIKE INTERNATIONAL HOLDING B.V.	US		1.0	54.0		
GB01887016	NIKE (UK) LIMITED	US	81.0	271.0	111.0	17.0	15.0
NL32128692	NIKE UK HOLDING B.V.	US		1.0	0.0		
GB06403083	NIKE VAPOR LTD.	US			0.0	-4.0	-4.0
GB00198168	NIKE MERCURIAL I LIMITED	US			2.0	-1.0	-1.0
NL32125793	TWIN DRAGONS HOLDING B.V.	US		1.0	0.0		
NL32143512	CONVERSE CANADA HOLDING B.V.	US			0.0		
GB07133557	CONVERSE EUROPE LIMITED	US	21.0	46.0	15.0	2.0	2.0
US124188330L	HURLEY INTERNATIONAL LLC	US					
CA149198231L	NIKE CANADA LTD	US					
US124143000L	NIKE FACTORY STORE	US					
US165671946L	NIKE FACTORE STORE	US					
US133158861L	NIKE FACTORE STORE	US					
US131112346L	NIKE FACTORY	US					
US132601654L	NIKE FACTORY	US					
US132301597L	NIKE FACTORY OUTLET	US					
US133310452L	NIKE FACTORY OUTLET STORE	US					
US131112347L	NIKE FACTORY ST	US					
US123965903L	NIKE FACTORY STORE	US					
US149428509L	NIKE FACTORY STORE PRIME OUTLE	US					
US181730442L	NIKE FS ALBERTVILLE	US					
US131195321L	NIKE FS CELEBRATION	US					
US179357598L	NIKE FS CHICAGO	US					
US192769944L	NIKE FS EDINBURGH	US					
US197234115L	NIKE FS ELLENTON	US					
US127478468L	NIKE FS FINGER LAKES	US					
US181628826L	NIKE FS FL CITY	US					
US163791753L	NIKE FS FRANKLIN MILLS	US					
US184068711L	NIKE FS JACKSON	US					
US126759813L	NIKE FS JERSEY GARDENS	US					
US173966808L	NIKE FS JERSEY SHORES	US					
US179128404L	NIKE FS JOHNSON CREEK	US					
US125724575L	NIKE FS KENSINGTON VALLEY	US					
US149423349L	NIKE FS KISSIMME	US					
US181391652L	NIKE FS KS CITY	US					
US131094181L	NIKE FS LAKE BUENA VISTA	US					
US169445088L	NIKE FS LIBERTY VILLAGE	US					
US179612274L	NIKE FS MEDFORD	US					
US128059037L	NIKE FS MILLSTREAM	US					
US164286564L	NIKE FS NIAGARA FALLS NY	US					
US149435562L	NIKE FS PHILADELPHIA	US					
US165491853L	NIKE FS PITTSBURGH	US					
US132525167L	NIKE FS POTOMAC	US					
US183698061L	NIKE FS QUEENSTOWN	US					
US192675861L	NIKE FS REHOBOTH	US					
US131812319L	NIKE FS SHREVEPORT	US					
US186340308L	NIKE FS SOUTH CHICAGO	US					
US188849916L	NIKE FS ST AUGUSTN	US					
US184314639L	NIKE FS TUSCOLA	US					
US133284839L	NIKE FS VINELAND	US					
US131025229L	NIKE FS VINELAND	US					
US127063711L	NIKE FS WOODBURY	US					
US143295615L	NIKE STORE	US					
US259036688L	THE NIKE FACTORY STORE	US					
US125603753L	NIKE IHM	US					
US128229956L	NIKE INC	US					
US165417429L	JUST NIKE INC	US					
CA132706169L	NIKE CANADA DISTRUBUTION	US					
US127661291L	NIKE COMMUNICATIONS INC	US					
US128411392L	NIKE FLIGHT OPERATIONS	US					
US147601419L	NIKE GOLF LEARNING CENTER	US					
US123715724L	NIKE GOLF SALES WEST	US					
US127661293L	NIKE GROUP	US					
US194756727L	NIKE INTERNATIONAL INC	US					
US289936664L	NIKE INTERNATIONAL LTD	US					
US149989993L	NIKE ORLANDO SERVICE CENTER	US					
US170306472L	NIKE OUTLET	US					
US142444259L	NIKE SHOP	US					
US147509537L	NIKE SOUTHWEST	US					
US192673026L	NIKE STORE	US					
US241247102L	NIKE STORE PORTLAND	US					
US133142579L	NIKE TEAM SPORTS INC	US					
US161495229L	NIKE TOWN NEW YORK	US					
US129250211L	NIKE USA	US					
US149207942L	NIKE USA INC	US					
US124168717L	NIKE WOMENS MARATHON	US					
US150051453L	NIKE WOMENS MARATHON	US					
US126473397L	NIKE WRENTHAM FACTORY STORE	US					
US124061330L	NIKETOWN	US					
US129816303L	NIKETOWN CHICAGO	US					
US128312504L	NIKEX EQUIPMENT CO	US					
US267391898L	NIKEX EQUIPMENT CO INC	US					
US149146413L	NIKE RETAIL SERVICES INC	US					
US147687810L	NIKE RETAIL SERVICES	US					
US203636184L	NIKE RETAIL SERVICES	US					
US231998858L	NIKE RETAIL SERVICES INC GAT	US					
US242334122L	NIKE RETAIL SERVICES INC GAT	US					
US128299718L	SAVIER INC	US					
US160987929L	SAVIER	US					
CA149102944L	SP APPAREL INC	US					
IT12788071004	A.S. ROMA MERCHANDISING S.R.L.	US	3.0	2.0	2.0	0.0	0.0
BM26246R	AIR MAX LIMITED	US					
NL32168356	ALL STAR C.V.	US					
ESB59088054	AMERICAN NIKE SL	US	53.0	241.0	20.0	6.0	4.0
TW23928993	BRS NIKE TAIWAN INC.	US					
HK0000201849	CONVERSE (ASIA PACIFIC) LIMITED	US		2.0			
CALEI349625	CONVERSE CANADA CORP.	US					
BR23541259000145	CONVERSE DO BRASIL LTDA	US	1.0	36.0			
CN2-95742	CONVERSE FOOTWEAR TECHNICAL SERVICE (ZHONGSHAN) CO LTD	US					
FR811794940	CONVERSE FRANCE S A S	US	2.0				
US2-95865	CONVERSE HOLDINGS LLC	US					
HK0000201868	CONVERSE HONG KONG HOLDING COMPANY LIMITED	US		135.0			
HK0000201873	CONVERSE HONG KONG LIMITED	US		140.0			
KR*110154112735	CONVERSE KOREA LLC	US					
IT13808291002	CONVERSE RETAIL ITALY S.R.L.	US					
CN2-95745	CONVERSE SPORTING GOODS (CHINA) CO LTD	US					
IT08612120967	F.C. INTERNAZIONALE MERCHANDISING S.R.L.	US	3.0	1.0	3.0	0.0	0.0
FR2-95758	FRENCH FOOTBALL MERCHANDISING SAS	US					
ESB63209084	HURLEY 999 SL	US	9.0	14.0	10.0	-1.0	-1.0
NL2-95788	HURLEY PHANTOM CV	US					
BR15502863000134	LATAM COMERCIO DE PRODUTOS ESPORTIVOS LTDA.	US	0.0	16.0			
CHCHE106089157	NIKE (SWITZERLAND) GMBH	US		75.0			
TH0105540077511	NIKE (THAILAND) LIMITED	US	77.0		43.0	12.0	9.0
JO*110154112744	NIKE 360 JORDAN WITH LIMITED LIABILITY	US					
US*110154112746	NIKE AIR MAX LLC	US					
US*110154112747	NIKE AMPLIFY LLC	US					
AR30-67815546-9	NIKE ARGENTINA SRL	US		375.0			
NL32132605	NIKE ASIA HOLDING B.V.	US		1.0	105.0		
US2-95867	NIKE CA LLC	US					
CALEI48579	NIKE CANADA CORP.	US					
NL32124649	NIKE CANADA HOLDING B.V.	US		1.0	49.0		
HK0000201887	NIKE CHINA HOLDING HK LIMITED	US					
CN9390465226	NIKE COMMERCIAL (CHINA) CO., LTD.	US	1012.0	5600.0	329.0	32.0	30.0
CN9363203275	NIKE SPORTS (CHINA) CO., LTD.	US	2859.0	1000.0	1838.0	457.0	358.0
NL60679263	NIKE CODRUS COOPERATIEF U.A.	US			91.0		
NL56033567	NIKE GLOBAL TRADING B.V.	US			14.0		
BM40096R	NIKE CORTEZ	US					
HR89078216952	NIKE CR D.O.O.	US	4.0	26.0	1.0	0.0	0.0
CZ24845736	NIKE CZECH, S.R.O.	US	11.0	75.0	4.0	0.0	0.0
CL966756705	NIKE DE CHILE LIMITADA	US					
DK12530633	NIKE DENMARK APS	US		31.0	10.0	1.0	1.0
DE6070490738	NIKE DEUTSCHLAND GMBH	US	89.0	322.0	45.0	13.0	8.0
BR59546515000134	NIKE DO BRASIL COMERCIO E PARTICIPACOES LTDA	US	6.0	1001.0			
NL60578874	NIKE ELEVATE C.V.	US					
BM27555R	NIKE FINANCE LTD	US					
FI08355519	NIKE FINLAND OY	US	3.0		5.0	0.0	0.0
BM41148R	NIKE FLIGHT	US					
FR320367139	NIKE FRANCE	US	93.0	274.0	37.0	11.0	5.0
NLLEI255549	NIKE FUNDAMENTALS C.V.	US					
AT9110176544	NIKE GESELLSCHAFT M.B.H.	US		23.0	160.0		
MY198708-M	NIKE SALES (MALAYSIA) SDN BHD	US	78.0		20.0	17.0	12.0
SE5565370649	NIKE SWEDEN AB	US	10.0	50.0	9.0	2.0	2.0
NL51909723	NIKE GLIDE C.V.	US					
NL32124656	NIKE GLOBAL HOLDING B.V.	US		1.0	5.0		
SG200908738H	NIKE GLOBAL SERVICES PTE. LTD.	US					
SG200907884G	NIKE GLOBAL TRADING PTE. LTD.	US					
GR2-95761	NIKE HELLAS EPE	US					
USLEI31852	NIKE HOLDING, LLC	US					
HK0000201771	NIKE HONG KONG LIMITED	US		40.0			
BM40097R	NIKE HUARACHE	US					
US2-95869	NIKE IGNITE LLC	US					
NL32124652	NIKE INDIA HOLDING B.V.	US		1.0	153.0		
IN0000399209	NIKE INDIA PRIVATE LIMITED	US	127.0		100.0	-16.0	-16.0
NL60166878	NIKE INNOVATE C.V.	US					
US2-95870	NIKE INTERNATIONAL HOLDING INC	US					
US2-95871	NIKE INTERNATIONAL LLC	US					
GB2-95847	NIKE INTERNATIONAL LTD	US					
BM8283R	NIKE INTERNATIONAL LTD	US		20.0			
IL53-281-3011	NIKE ISRAEL LTD	US		52.0			
IL60-004-8476	NIKE RETAIL ISRAEL LTD	US					
IT08424900150	NIKE ITALY S.R.L.	US	62.0	177.0	34.0	10.0	6.0
JP1010703002010	NIKE JAPAN GROUP L.L.C.	US					
JP9010701007169	NIKE JAPAN K.K.	US					
BM41272R	NIKE JUMP LTD	US					
KR1101140096021	NIKE KOREA LLC	US					
BM40095R	NIKE LAVADOME	US					
BR10548697000193	NIKE LICENCIAMENTOS LTDA.	US	2.0	36.0			
NL60166649	NIKE LIGHTNING C.V.	US					
JP2-95778	NIKE LOGISTICS YUGEN KAISHA	US					
HU23313688	NIKE MAGYARORSZÁG KORLÁTOLT FELELOSSÉGU TÁRSASÁG	US					
NL*110154112769	NIKE MAXIM C.V.	US					
US256469351L	NIKE MERCURIAL CORP	US					
HK0000177333	NIKE MERCURIAL HONG KONG LIMITED	US	7.0	50.0			
US2-95874	NIKE MEXICO HOLDINGS LLC	US					
NZ9429039058393	NIKE NEW ZEALAND COMPANY	US	52.0		10.0	1.0	1.0
NL32124654	NIKE NZ HOLDING B.V.	US		1.0	4.0		
NL32124657	NIKE OFFSHORE HOLDING B.V.	US		1.0	143.0		
US*110154112776	NIKE OSCILLATE LLC	US					
PA2319LRPP	NIKE PANAMA S.DE R.L.	US					
BM41363R	NIKE PEGASUS	US					
PHA199902790	NIKE PHILIPPINES, INC.	US	108.0		44.0	15.0	10.0
PL014845927	NIKE POLAND SP. Z O.O.	US	15.0		13.0	2.0	2.0
GR997953829	NIKE RETAIL HELLAS LTD	US	31.0	100.0	17.0	1.0	0.0
RU2-95820	NIKE RETAIL LLC	US					
PL015532840	NIKE RETAIL POLAND SP. Z O.O.	US	21.0		10.0	0.0	0.0
TR2-95838	NIKE RETAIL TURKEY	US					
NL66363071	NIKE REVOLUTION C.V.	US					
NL67515789	NIKE SWIFT B.V.	US					
RU2-95821	NIKE RUSSIA LLC	US					
MXNSM001001PK5	NIKE SERVICIOS DE MEXICO	US					
SG199002308G	NIKE SINGAPORE PTE LTD	US					
SK46188738	NIKE SLOVAKIA, S.R.O.	US	0.0		1.0	0.0	0.0
CN2-95749	NIKE SOURCING (GUANGZHOU) CO LTD	US					
IN0000399214	NIKE SOURCING INDIA PRIVATE LIMITED	US	3.0		2.0	0.0	0.0
ZA199500010507	NIKE SOUTH AFRICA (PTY) LTD	US		100.0			
US2-95876	NIKE SOUTH AFRICA HOLDINGS LLC	US					
NL51429721	NIKE SPHERE C.V.	US					
BM40098R	NIKE TAILWIND	US					
TW53762288	NIKE TAIWAN LIMITED	US					
US188493198L	NIKE TN INC	US					
NL51315297	NIKE VICTORY COOPERATIEF U.A.	US		1.0	2483.0		
NL32152659	NIKE 360 HOLDING B.V.	US	81.0	579.0	87.0	5.0	5.0
NL32054966	NIKE EUROPE HOLDING B.V.	US	293.0	3.0	2324.0	-56.0	223.0
NL34186851	CONVERSE NETHERLANDS B.V.	US	644.0	118.0	423.0	120.0	80.0
ESB66559899	AMERICAN CONVERSE SL.	US					
DE2151727670	CONVERSE DEUTSCHLAND GMBH	US		1.0			
GB10584502	CONVERSE RETAIL (UK) LIMITED	US					
NL63439182	CONVERSE RETAIL B.V.	US		3.0			
AT9111059344	CONVERSE RETAIL GMBH	US		2.0			
NL32135477	NIKE CHILE B.V.	US		1.0	42.0		
NL32057998	NIKE EUROPEAN OPERATIONS NETHERLANDS B.V.	US	9371.0	9270.0	5430.0	1285.0	861.0
NL66066700	NIKE AIR ACE B.V.	US					
NL32135478	NIKE LASER HOLDING B.V.	US			28.0	9.0	8.0
GB10586258	NIKE CHELSEA MERCHANDISING LIMITED	US					
NO996691284	NIKE NORWAY AS	US	7.0	32.0	4.0	1.0	1.0
NL32060874	NIKE RETAIL B.V.	US		114.0			
