Target	Source	Weight	Total	Type	max
AR30-70809634-9	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
AT9110357456	FR334028644	100.0	100.0	Directed	100.0
BE0475893282	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
BE0475893282	NL34127182	0.0	50.01	Directed	50.01
BR2-49626	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
CA149110582L	RALPH LAUREN CORPORATION	100.0	0.0	Directed	50.01
CA2-49723	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
CA245260124L	RALPH LAUREN CORPORATION	100.0	0.0	Directed	50.01
CA260319020L	CA149110582L	100.0	0.0	Directed	50.01
CA274828247L	RALPH LAUREN CORPORATION	100.0	0.0	Directed	50.01
CALEI389393	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
CHCHE109810419	NL34127182	100.0	100.0	Directed	100.0
CHCHE109810419	RALPH LAUREN CORPORATION	0.0	50.01	Directed	50.01
CHCHE113718308	RALPH LAUREN CORPORATION	100.0	0.0	Directed	50.0
CHCHE113792670	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
CN2-49891	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
CN2-49892	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
CN2-49893	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
CZ04837584	NL34127182	100.0	100.0	Directed	100.0
DE8170318960	FR342879400	100.0	100.0	Directed	100.0
DK30907299	NL34127182	100.0	100.0	Directed	100.0
ESB81515520	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
FR334028644	FR342879400	100.0	100.0	Directed	100.0
FR334028644	RALPH LAUREN CORPORATION	0.0	100.0	Directed	100.0
FR342879400	FR428936678	100.0	100.0	Directed	100.0
FR342879400	RALPH LAUREN CORPORATION	0.0	100.0	Directed	100.0
FR428936678	RALPH LAUREN CORPORATION	0.0	100.0	Directed	100.0
FR428936678	NL34127182	100.0	100.0	Directed	100.0
FR483710216	RALPH LAUREN CORPORATION	100.0	100.0	Directed	100.0
