Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
HK0000156774	CLUB MONACO (HONG KONG) LIMITED	US		150.0			
US179159691L	CLUB MONACO US LLC	US	0	1.0			
US2-53613	FASHION DEVELOPMENT CORPORATION	US					
US2-53612	MOUNTAIN ROSE (USA) LLC	US					
NL997670577	POLO FIN B.V.	US					
US2-53611	POLO JEANS COMPANY LLC	US					
US2-53610	POLO PLAYERS LTD	US					
US2-53608	POLOCO USA INC	US					
US2-53607	PRL CMI LLC	US					
JP2-51735	PRL JAPAN KABUSHIKI KAISHA	US					
JP2-51734	PRL JAPAN PARTNERSHIP NK	US					
AR30-70809634-9	PRL SRL	US		35.0			
US2-53669	PRL USA INC	US					
HK0000282039	RALPH LAUREN (HONG KONG) RETAIL COMPANY LIMITED	US		55.0			
MO2-51870	RALPH LAUREN (MACAU) LTD	US					
SG200907210G	RALPH LAUREN (SINGAPORE) PRIVATE LIMITED	US					
PA733624RPP	RALPH LAUREN AMERICAS S.A.	US					
US2-53667	RALPH LAUREN AVIATION LLC	US					
BE0475893282	RALPH LAUREN BELGIUM	US	6	55.0	3	0.0	0.0
BR2-49626	RALPH LAUREN BRASIL VESTUARIO LTDA	US					
CA2-49723	RALPH LAUREN CANADA CORPORATION	US					
CALEI389393	RALPH LAUREN CANADA LP	US					
CN2-49893	RALPH LAUREN COMMERCE & TRADING (SHANGHAI) COMPANY LTD	US					
US2-53666	RALPH LAUREN COMPANY WEST LLC	US					
IN2-51448	RALPH LAUREN CORPORATION INDIA	US					
JP5011001059326	RALPH LAUREN CORPORATION JAPAN	US	464	1850.0			16.0
CN2-49892	RALPH LAUREN GARMENT TECHNOLOGY CONSULTING (SHENZHEN) COMPANY LTD	US					
GR2-51251	RALPH LAUREN GREECE EPE	US					
US2-53664	RALPH LAUREN HOME COLLECTION INC	US					
US2-53662	RALPH LAUREN JEANS COMPANY LLC	US					
KRLEI425951	RALPH LAUREN KOREA LTD.	US					
PA2160LRPP	RALPH LAUREN LATIN AMERICAN SERVICES S. DE R.L.	US					
US2-53661	RALPH LAUREN LIFESTYLE CONCEPTS LLC	US					
US2-53670	RALPH LAUREN MANAGEMENT SERVICES LLC	US					
US2-53671	RALPH LAUREN MEDIA LLC	US					
FR490103157	RALPH LAUREN PARIS SAS	US	20	82.0	28	1.0	1.0
US2-53679	RALPH LAUREN SOURCING AMERICAS LLC	US					
HK0000156755	RALPH LAUREN SOURCING COMPANY LIMITED	US		45.0			
IT03844410963	RALPH LAUREN SOURCING ITALY S.R.L.	US	9	74.0	6	-3.0	-4.0
FR483710216	RALPH LAUREN ST BARTH SAS	US	1		3	0.0	0.0
CHCHE113792670	RALPH LAUREN SWITZERLAND SAGL	US		35.0			
CN2-49891	RALPH LAUREN TRADING (SHANGHAI) CO., LTD	US					
US2-53678	RALPH LAUREN WOMENSWEAR COMPANY LP (THE)	US					
US2-53677	RALPH LAUREN WOMENSWEAR LLC	US					
TW28984446	RALPHLAUREN(HONGKONG)RETAILCOMPANYLIMITED	US					
US2-53676	RL FRAGRANCES LLC	US					
US249154829L	RL INTERNATIONAL ASSIGNMENTS INC	US					
GB2-53410	RL TRADING COMPANY LTD (THE)	US					
US2-53674	RL TRAVEL INC	US					
US134479754L	RLPR INC	US					
US2-53672	RLWW LLC	US					
US2-53660	RODEO GIRL PRODUCTIONS INC	US					
US2-53659	SUN APPAREL LLC	US					
US2-53658	WSH LLC	US					
FR428936678	ACQUI POLO SAS	US	<0,5		73	0.0	0.0
FR342879400	RALPH LAUREN FRANCE SAS	US	82		82	0.0	0.0
DE8170318960	RALPH LAUREN GERMANY GMBH	US	48	519.0	39	0.0	0.0
FR334028644	RL RETAIL FRANCE	US	71	265.0	33	0.0	0.0
AT9110357456	RALPH LAUREN AUSTRIA GMBH	US			4		
MY855538-M	RALPH LAUREN (MALAYSIA) SDN. BHD.	US	13		25	0.0	0.0
ESB81515520	RALPH LAUREN ESPAÑA SL	US	39	336.0	66	0.0	0.0
US127562698L	RALPH LAUREN FOOTWEAR CO INC	US					
TR2200356F	RALPH LAUREN MAGAZACILIK VE TICARET LIMITED SIRKETI	US	9		13	0.0	1.0
NL34127173	ACQUI POLO C.V.	US					
HK0000249715	RALPH LAUREN ASIA PACIFIC LIMITED	US		121.0			
HK0000282025	RALPH LAUREN ASIA HOLDING COMPANY LIMITED	US		115.0			
NL34127182	RALPH LAUREN HOLDING B.V.	US		3.0	260		
CZ04837584	RALPH LAUREN APPAREL PRAGUE, S.R.O.	US		38.0			
DK30907299	RALPH LAUREN DENMARK APS	US	2		2	0.0	0.0
CHCHE109810419	RALPH LAUREN EUROPE SÀRL	US		75.0			
IE439577	RALPH LAUREN IRELAND LIMITED	US	12	58.0	1	0.0	0.0
IT05955420962	RALPH LAUREN ITALY S.R.L.	US	26	337.0	39	1.0	0.0
NL39079208	RALPH LAUREN NETHERLANDS B.V.	US		391.0	12	0.0	0.0
PT509380328	RALPH LAUREN PORTUGAL, UNIPESSOAL, LDA	US	1	42.0	4	0.0	0.0
SE5564318086	RALPH LAUREN SCANDINAVIA AB	US	17	136.0	17	1.0	1.0
IT03263610960	RL FASHIONS OF EUROPE S.R.L.	US	25	124.0	59	1.0	1.0
IT06228230964	RL SERVICES S.R.L.	US	2	6.0	1	0.0	0.0
GR997778680	RALPH LAUREN APPAREL HELLAS LTD	US	19	41.0	11	2.0	1.0
NZ9429030357846	RALPH LAUREN NEW ZEALAND LIMITED	US	3		2	0.0	0.0
NL34127180	RL FINANCE B.V.	US		5.0	577		
GB03901528	RL RETAIL SERVICES LIMITED	US	51	1834.0	32	17.0	14.0
GB02959496	RALPH LAUREN UK LIMITED	US	313		91	3.0	2.0
GB03986386	THE RALPH LAUREN TRADING COMPANY LIMITED	US	0		1	0.0	0.0
GB01708763	RALPH LAUREN LONDON LIMITED	US	20		7	3.0	2.0
CA245260124L	CLUB MONACO CORP	US					
GB03482790	CLUB MONACO EUROPE LIMITED	US			<0,5		
CA149110582L	CLUB MONACO INTERNATIONAL	US					
CA260319020L	CLUB MONACO INC	US					
US127635833L	CLUB MONACO US INC	US					
US146466969L	CLUB MONACO INTERNATIONAL	US					
US127172897L	POLO RALPH LAUREN	US					
US241144241L	POLO RALPH LAUREN - FOA	US					
US241553891L	POLO RALPH LAUREN - FOA	US					
US150201591L	POLO RALPH LAUREN CHILDREN	US					
US168130674L	POLO RALPH LAUREN DESIGN STU	US					
US131358166L	POLO RALPH LAUREN FACTORY OUTLET STORE	US					
US132173806L	POLO RALPH LAUREN FDA STORE	US					
US127018373L	POLO RALPH LAUREN FOA STORE	US					
US123998756L	POLO RALPH LAUREN FOJ	US					
US137061841L	POLO RALPH LAUREN KIDS	US					
US241050746L	POLO RALPH LAUREN LEEDS	US					
US183701397L	POLO RALPH LAUREN OUTLET	US					
US244622423L	POLO RALPH LAUREN OUTLETS	US					
US185108847L	POLO RALPH LAUREN RUGBY	US					
US224200148L	POLO RALPH LAUREN RUGBY	US					
US138488187L	POLO RALPH LAUREN SHOP	US					
US203611917L	POLO RALPH LAUREN SHOPS	US					
US132040634L	POLO RALPH LAUREN SPACE	US					
US127326196L	POLO RALPH LAUREN STE	US					
US244068761L	POLO RALPH LAUREN STORE	US					
US165427929L	POLO RALPH LAUREN STORES	US					
