Target	Source	Weight	Total	Type	max
AR2-178089	STARBUCKS CORP	100.0	100.0	Directed	100.0
AT9110335487	NL34192307	100.0	100.0	Directed	100.0
AT9110335487	STARBUCKS CORP	0.0	50.01	Directed	50.01
AU089313057	STARBUCKS CORP	100.0	0.0	Directed	50.01
BG2-178094	STARBUCKS CORP	100.0	100.0	Directed	100.0
BR*190521563957	STARBUCKS CORP	100.0	100.0	Directed	100.0
BR07984267000100	STARBUCKS CORP	100.0	0.0	Directed	50.01
CA*1550083663	US201946316	100.0	99.0	Directed	99.0
CA132686185L	STARBUCKS CORP	100.0	0.0	Directed	50.01
CA133227408L	STARBUCKS CORP	100.0	0.0	Directed	50.01
CA149770369L	STARBUCKS CORP	100.0	0.0	Directed	50.01
CA169346319L	US164183193L	66.66666666666667	0.0	Directed	50.01
CA169346319L	STARBUCKS CORP	33.333333333333336	50.01	Directed	50.01
CA176760951L	STARBUCKS CORP	100.0	0.0	Directed	50.01
CA2-178096	STARBUCKS CORP	100.0	100.0	Directed	100.0
CA203430891L	STARBUCKS CORP	100.0	0.0	Directed	50.01
CA247279433L	US201946316	100.0	0.0	Directed	50.01
CHCHE100839196	US164183193L	100.0	100.0	Directed	100.0
CHCHE100839196	STARBUCKS CORP	0.0	50.01	Directed	50.01
CHCHE109453058	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN*110000105653	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN*110136621511	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN*1550087150	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN2-178101	STARBUCKS CORP	100.0	100.0	Directed	100.0
CN2-178103	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN2-178106	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN2-178109	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN2-178110	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN2-178111	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN2-178112	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN9364513598	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN9364605627	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN9364709866	STARBUCKS CORP	100.0	50.01	Directed	50.01
CN9365145100	STARBUCKS CORP	100.0	100.0	Directed	100.0
CN9367167928	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN9378684472	STARBUCKS CORP	100.0	0.0	Directed	50.01
CN9380261853	STARBUCKS CORP	100.0	0.0	Directed	50.01
CO2-178114	STARBUCKS CORP	100.0	0.0	Directed	50.01
CO9006539381	STARBUCKS CORP	100.0	0.0	Directed	50.01
CR3102349782	STARBUCKS CORP	100.0	0.0	Directed	50.01
CYC141790	STARBUCKS CORP	100.0	100.0	Directed	100.0
CYC189342	STARBUCKS CORP	100.0	0.0	Directed	50.01
CZ28167694	STARBUCKS CORP	100.0	50.01	Directed	50.01
ET0000031985	STARBUCKS CORP	100.0	50.01	Directed	50.01
FR445330103	NL34160291	100.0	100.0	Directed	100.0
FR445330103	STARBUCKS CORP	0.0	50.01	Directed	50.01
GB02659860	STARBUCKS CORP	0.0	50.01	Directed	50.01
GB02659860	GB06300882	100.0	100.0	Directed	100.0
GB02959325	GB03346087	79.83549050441515	99.0	Directed	99.0
GB02959325	STARBUCKS CORP	20.164509495584856	50.01	Directed	50.01
GB02995435	GB03346087	100.0	100.0	Directed	100.0
GB02995435	STARBUCKS CORP	0.0	50.01	Directed	50.01
GB03346087	STARBUCKS CORP	100.0	100.0	Directed	100.0
GB05487830	US164183193L	79.83549050441515	99.0	Directed	99.0
GB05487830	STARBUCKS CORP	20.164509495584856	50.01	Directed	50.01
GB06300882	STARBUCKS CORP	100.0	50.01	Directed	50.01
GB06535112	STARBUCKS CORP	0.0	50.01	Directed	50.01
GB06535112	GB06300882	100.0	100.0	Directed	100.0
GB09084257	GB09332791	100.0	100.0	Directed	100.0
GB09084257	STARBUCKS CORP	0.0	50.01	Directed	50.01
GB09144787	GB09170250	100.0	100.0	Directed	100.0
GB09144787	STARBUCKS CORP	0.0	50.01	Directed	50.01
GB09170250	US164183193L	78.25746706664928	0.0	Directed	90.0
GB09170250	STARBUCKS CORP	21.742532933350724	50.01	Directed	50.01
GB09332791	GB09144787	100.0	100.0	Directed	100.0
GB09332791	STARBUCKS CORP	0.0	50.01	Directed	50.01
GB10209183	GB09144787	100.0	100.0	Directed	100.0
GB10209183	STARBUCKS CORP	0.0	50.01	Directed	50.01
GB10267753	STARBUCKS CORP	100.0	0.0	Directed	50.01
GB10929823	US164183193L	100.0	100.0	Directed	100.0
GBLP011782	STARBUCKS CORP	100.0	100.0	Directed	100.0
HK0002290706	STARBUCKS CORP	100.0	50.01	Directed	50.01
HK0010599847	STARBUCKS CORP	100.0	50.01	Directed	50.01
HK0015713819	STARBUCKS CORP	100.0	50.01	Directed	50.01
HK0015713838	STARBUCKS CORP	100.0	50.01	Directed	50.01
HK0015713876	STARBUCKS CORP	100.0	50.01	Directed	50.01
HK0015821428	STARBUCKS CORP	100.0	50.01	Directed	50.01
HU14126444	STARBUCKS CORP	100.0	50.01	Directed	50.01
IN0008921846	STARBUCKS CORP	100.0	50.01	Directed	50.01
IT09807980967	GB09084257	100.0	100.0	Directed	100.0
JP*110136621517	STARBUCKS CORP	100.0	0.0	Directed	50.01
JP2-178131	STARBUCKS CORP	100.0	100.0	Directed	100.0
JP7011001031943	STARBUCKS CORP	100.0	50.01	Directed	50.01
KR*110164738210	STARBUCKS CORP	100.0	0.0	Directed	50.01
MX*110164738203	STARBUCKS CORP	100.0	0.0	Directed	50.01
NL24338452	STARBUCKS CORP	100.0	0.0	Directed	50.01
NL34160291	GB09084257	100.0	100.0	Directed	100.0
NL34160291	STARBUCKS CORP	0.0	50.01	Directed	50.01
NL34161132	NL34160291	100.0	100.0	Directed	100.0
NL34161132	STARBUCKS CORP	0.0	50.01	Directed	50.01
NL34192307	NL34160291	100.0	100.0	Directed	100.0
NL34192307	STARBUCKS CORP	0.0	50.01	Directed	50.01
