Id	Label	Country	turnover	employees	assets	profit_before_tax	profit_after_tax
GBLP011782	ALKI LIMITED PARTNERSHIP	US					
US2-178159	BAY BREAD LLC (DBA LA BOULANGE)	US					
AR2-178089	CAF	US					
BR*190521563957	CAFES SEREIA DO BRASIL PARTICIPACOES SA	US					
CN9365145100	CHENGDU STARBUCKS COFFEE CO., LTD.	US	54.0		26.0		
CN2-178101	COFFEE HOUSE HOLDINGS INC	US					
BG2-178094	MARINOPOULOS COFFEE COMPANY BULGARIA EOOD	US					
NL34259891	MARINOPOULOS COFFEE SEE B.V.	US		135.0	3.0		
US2-178167	SCI UK I INC	US					
US2-178169	SEATTLE	US					
US231392477L	SOCAL BAKERY LLC	US					
CA2-178096	STARBUCKS COFFEE CANADA INC	US					
GB03346087	STARBUCKS COFFEE HOLDINGS (UK) LIMITED	US			379.0		
GB02995435	TORZ AND MACATONIA LIMITED	US			0.0		
GB02959325	STARBUCKS COFFEE COMPANY (UK) LIMITED	US	492.0	5789.0	174.0	17.0	9.0
JP2-178131	STARBUCKS CPG INTERNATIONAL GK	US					
CYC141790	MARINOPOULOS COFFEE COMPANY CYPRUS LIMITED	US	12.0		10.0	2.0	2.0
US139229921L	TORREFAZIONE ITALIA LLC	US					
US131968744L	COFFEE EQUIPMENT CO	US					
US133427874L	NEW FRENCH BAKERY INC	US					
US245262425L	SCI EUROPE I, INC.	US					
US258731816L	SEATTLE'S BEST COFFEE LLC	US					
US220775465L	STAR BUCKS	US					
US142940782L	STARBUCK S BILLIARDS	US					
US131933084L	STARBUCKS	US					
US241316423L	STAR BUCKS	US					
US143594927L	STARBUCKS 116TH & KEYSTONE	US					
US142170591L	STARBUCKS AT BEAVER CREEK	US					
US144125399L	STARBUCKS B8	US					
US164396385L	STARBUCKS CENTERS DISTRIBUTION	US					
US146732295L	STARBUCKS COFEE CORP	US					
US142704741L	STARBUCKS DECOR	US					
US171129513L	STARBUCKS ENTERPRISES	US					
US191126172L	STARBUCKS FLIGHT OPERATIONS	US					
US221382311L	STARBUCKS FREIGHT	US					
US149045155L	STARBUCKS HOLDING CO	US					
US148269341L	STARBUCKS INC	US					
US146189315L	STARBUCKS ITHACA ON COMMONS	US					
US149045218L	STARBUCKS NEW VENTURE CO	US					
US147879813L	STARBUCKS PLAZA KILLEEN LLC	US					
US142677696L	STARBUCKS TRAINING CENTER	US					
US230364296L	STARBUCKS-DCM/PERRIS CA	US					
US142638865L	STARBUCKS @ BAY TO BAY	US					
US141498682L	STARBUCKS AT PIAZZA S FINE FOODS	US					
US191421957L	STARBUCKS ATLANTA MEDICAL CENTER	US					
US256086185L	STARBUCKS AUGUSTA PLANT	US					
US142472996L	STARBUCKS BILLIARDS INC	US					
US286724318L	STARBUCKS BILLIARDS INC	US					
US137208087L	STARBUCKS CAFE	US					
US244203788L	STARBUCKS CDC KENT	US					
