Target	Source	Weight	Total	Type	max
AE*904715534	NL55976255	100.0	100.0	Directed	100.0
AE*904715534	NL55808646	0.0	100.0	Directed	100.0
AR*920618864	NL55808646	100.0	100.0	Directed	100.0
AR30-71533496-4	NL55808646	100.0	100.0	Directed	100.0
AT9110821831	NL55976255	100.0	100.0	Directed	100.0
AT9110821831	NL55808646	0.0	100.0	Directed	100.0
AU160299865	NL55808646	100.0	100.0	Directed	100.0
AU609590463	NL55808646	100.0	100.0	Directed	100.0
AZ*920618702	NL55976255	100.0	100.0	Directed	100.0
AZ*920618702	NL55808646	0.0	100.0	Directed	100.0
BD*920618894	NL55808646	100.0	100.0	Directed	100.0
BE0501967674	NL55976255	66.44295302013423	0.0	Directed	99.0
BE0501967674	NL55808646	33.557046979865774	100.0	Directed	100.0
BG203218885	NL55976255	100.0	100.0	Directed	100.0
BG203218885	NL55808646	0.0	100.0	Directed	100.0
BO*920618866	NL55808646	100.0	100.0	Directed	100.0
BR17895646000187	NL55976255	66.44295302013423	0.0	Directed	99.0
BR17895646000187	NL55808646	33.557046979865774	100.0	Directed	100.0
BR25209436000116	NL55808646	100.0	100.0	Directed	100.0
BY*920618834	NL55976255	66.44295302013423	0.0	Directed	99.0
BY*920618834	NL55808646	33.557046979865774	100.0	Directed	100.0
CA*920618857	NL55808646	100.0	100.0	Directed	100.0
CA274130588L	NL55976255	100.0	100.0	Directed	100.0
CA274130588L	NL55808646	0.0	100.0	Directed	100.0
CA274573841L	NL55976255	100.0	100.0	Directed	100.0
CHCHE325270563	NL55976255	100.0	100.0	Directed	100.0
CHCHE325270563	NL55808646	0.0	100.0	Directed	100.0
CL762707071	NL55976255	100.0	100.0	Directed	100.0
CL762707071	NL55808646	0.0	100.0	Directed	100.0
CN*920618690	NL55976255	100.0	100.0	Directed	100.0
CN*920618690	NL55808646	0.0	100.0	Directed	100.0
CO9006761652	NL55976255	100.0	100.0	Directed	100.0
CO9006761652	NL55808646	0.0	100.0	Directed	100.0
CR*920618670	NL55976255	100.0	100.0	Directed	100.0
CR*920618670	NL55808646	0.0	100.0	Directed	100.0
CR*920618719	NL55976255	100.0	100.0	Directed	100.0
CR*920618719	NL55808646	0.0	100.0	Directed	100.0
CR*920618722	NL55976255	66.44295302013423	0.0	Directed	99.0
CR*920618722	NL55808646	33.557046979865774	100.0	Directed	100.0
CR*920618877	NL55808646	100.0	100.0	Directed	100.0
CZ01874845	NL55976255	100.0	0.0	Directed	90.0
DE2012372069	NL55976255	100.0	100.0	Directed	100.0
DE2012372069	NL55808646	0.0	100.0	Directed	100.0
DE2012543169	NL55976255	100.0	100.0	Directed	100.0
DE2012543169	NL55808646	0.0	100.0	Directed	100.0
DE2151735668	NL55976255	100.0	100.0	Directed	100.0
DE2151735668	NL55808646	0.0	100.0	Directed	100.0
DE5191068837	NL55976255	100.0	100.0	Directed	100.0
DE5191068837	NL55808646	0.0	100.0	Directed	100.0
DE5191069008	NL55976255	100.0	100.0	Directed	100.0
DE5191069008	NL55808646	0.0	100.0	Directed	100.0
DE5191076751	NL55976255	100.0	100.0	Directed	100.0
DE5191076751	NL55808646	0.0	100.0	Directed	100.0
DE5191076753	NL55976255	100.0	100.0	Directed	100.0
DE5191076753	NL55808646	0.0	100.0	Directed	100.0
DK34900469	UBER TECHNOLOGIES INC	100.0	100.0	Directed	100.0
DK35855882	NL55976255	100.0	100.0	Directed	100.0
DK35855882	NL55808646	0.0	100.0	Directed	100.0
DO120205SDQ	NL55808646	100.0	100.0	Directed	100.0
EE12852116	NL55976255	100.0	100.0	Directed	100.0
EE12852116	NL55808646	0.0	100.0	Directed	100.0
EG*920618734	NL55976255	66.44295302013423	0.0	Directed	99.0
EG*920618734	NL55808646	33.557046979865774	100.0	Directed	100.0
EG*920618904	NL55808646	100.0	100.0	Directed	100.0
ESB66254202	NL55976255	100.0	100.0	Directed	100.0
ESB66254202	NL55808646	0.0	100.0	Directed	100.0
FI26363627	NL55976255	100.0	100.0	Directed	100.0
FI26363627	NL55808646	0.0	100.0	Directed	100.0
FR539454942	NL55976255	100.0	100.0	Directed	100.0
FR539454942	NL55808646	0.0	100.0	Directed	100.0
FR797983152	NL55976255	100.0	100.0	Directed	100.0
FR797983152	NL55808646	0.0	100.0	Directed	100.0
FR812536225	NL55976255	100.0	100.0	Directed	100.0
FR812536225	NL55808646	0.0	100.0	Directed	100.0
FR819994781	NL55808646	100.0	100.0	Directed	100.0
GB08014782	NL55976255	100.0	100.0	Directed	100.0
GB08014782	NL55808646	0.0	100.0	Directed	100.0
GB08823469	NL55976255	100.0	100.0	Directed	100.0
GB08823469	NL55808646	0.0	100.0	Directed	100.0
GB09783280	NL55976255	66.44295302013423	99.0	Directed	99.0
GB09783280	NL55808646	33.557046979865774	100.0	Directed	100.0
GB10078453	NL59168072	100.0	100.0	Directed	100.0
GB10078453	NL55808646	0.0	100.0	Directed	100.0
GB10443611	NL59168072	100.0	100.0	Directed	100.0
GB10443611	NL55808646	0.0	100.0	Directed	100.0
GBSC531141	NL55976255	100.0	100.0	Directed	100.0
GBSC531141	NL55808646	0.0	100.0	Directed	100.0
GH*920618923	NL55808646	100.0	100.0	Directed	100.0
GR800608773	NL55976255	100.0	100.0	Directed	100.0
GR800608773	NL55808646	0.0	100.0	Directed	100.0
GT*920618891	NL55808646	100.0	100.0	Directed	100.0
HK0002445402	NL55976255	100.0	100.0	Directed	100.0
HK0002445402	NL55808646	0.0	100.0	Directed	100.0
HN*920618870	NL55808646	100.0	100.0	Directed	100.0
HR58936951251	NL55976255	100.0	100.0	Directed	100.0
HR58936951251	NL55808646	0.0	100.0	Directed	100.0
HU24709208	NL55976255	100.0	100.0	Directed	100.0
HU24709208	NL55808646	0.0	100.0	Directed	100.0
ID*920618888	NL55808646	100.0	100.0	Directed	100.0
IE529509	NL55976255	66.44295302013423	99.0	Directed	99.0
