Id	coreNACE2	Label	city	Country	legalForm	turnover	employees	assets	pl
CN2-95741		CONVERSE (ASIA PACIFIC) LTD		CN	C				
CN2-95743		CONVERSE HONG KONG HOLDING COMPANY LTD		CN	C				
CN2-95744		CONVERSE HONG KONG LTD		CN	C				
US2-42599		CONVERSE INC		US	C				
US161561877L	46	EXETER BRANDS GROUP LLC	NEW YORK	US	C				
US2-42600		HURLEY INTERNATIONAL LLC		US	C				
USAK-131471		HURLEY INTERNATIONAL LLC	COSTA MESA	US	C				
IT2-95774		JUVENTUS MERCHANDISING SRL		IT	C				
BR2-95735		LATAM SERVICOS DE LICENCIAMENTO ESPORTIVO LTDA		BR	C				
GB2-95842		NIKE CORTEZ		GB	C				
CR3102661863		NIKE COSTA RICA SOCIEDAD DE RESPONSABILIDAD LIMITADA		CR	C				
MXNME810515FI9		NIKE DE MEXICO SA DE CV	AZCAPOTZALCO	MX	C	0.25	175.0		
GB2-95843		NIKE FINANCE LTD		GB	F				
GB2-95844		NIKE FLIGHT		GB	C				
GB2-95845		NIKE FORCE		GB	C				
CN2-95748		NIKE HONG KONG LTD		CN	C				
GB2-95846		NIKE HUARACHE		GB	C				
US268651028L	22	NIKE IHM INC	HOUSTON	US	C				
GB2-95848		NIKE JUMP LTD		GB	C				
GB2-95849		NIKE LAVADOME		GB	C				
US2-95872		NIKE MAX LLC		US	C				
GB2-95855		NIKE PEGASUS		GB	C				
SI3868613	46	NIKE TRGOVINA NA DEBELO D.O.O.	LJUBLJANA	SI	C	1.73	6.0	0.47	0.0
GB2-95859		NIKE WAFFLE		GB	C				
HK2-95766		UMBRO HONG KONG LTD		HK	C				
US2-95886		UMBRO INTERNATIONAL JV		US	C				
GB2-95862		UMBRO SPORTWEAR LTD		GB	C				
GB2-95864		UMBROCOM		GB	C				
IN0000399209	15	NIKE INDIA PRIVATE LIMITED	BANGALORE	IN	C	127.2		100.27	-16.0
